#  O_m    O_de   w0_de  w1_de  h_100  O_b    O_nu   Neffnu sig_8  A_s  n_s nonlinear transfer growth de_param normmode N_a
#  0.300  0.700 -1.000  0.000  0.700  0.046  0.000  0.000  0.852  1.807e-09  0.970 smith03_revised(7) eisenhu_osc(2) growth_de(1) linder(1) 0 1000
# Nzbin = 1
# nofz0
#     6 (single)
#  photz0
#       0 (photz_no)
#  Nnz0 
#     2
#  pnz0   pnz1      
# 1100.000  1100.000     
# Mean redshift = 1100.000
# (s)tomo = (tomo_auto_only)1 (s)projection = (limber2_la08_sph)6 (s)reduced=(none)0 q_mag_size=0 (s)ia=(none)0 (s)ia_terms=(undef)0 A_ia=0
# Shear cross-power spectra l(l+1)/(2pi)P(l) for 1 z-bin
# l            P_k^00(l)       
1.000000e-02   0.000000e+00   
1.325711e-02   0.000000e+00   
1.757511e-02   0.000000e+00   
2.329952e-02   0.000000e+00   
3.088844e-02   0.000000e+00   
4.094915e-02   0.000000e+00   
5.428675e-02   0.000000e+00   
7.196857e-02   0.000000e+00   
9.540955e-02   0.000000e+00   
1.264855e-01   0.000000e+00   
1.676833e-01   0.000000e+00   
2.222996e-01   0.000000e+00   
2.947052e-01   0.000000e+00   
3.906940e-01   0.000000e+00   
5.179475e-01   0.000000e+00   
6.866488e-01   0.000000e+00   
9.102982e-01   0.000000e+00   
1.206793e+00   0.000000e+00   
1.599859e+00   0.000000e+00   
2.120951e+00   5.742599e-08   
2.811769e+00   1.249650e-07   
3.727594e+00   2.582865e-07   
4.941713e+00   5.203593e-07   
6.551286e+00   1.032110e-06   
8.685114e+00   2.021438e-06   
1.151395e+01   3.907307e-06   
1.526418e+01   7.435486e-06   
2.023590e+01   1.387994e-05   
2.682696e+01   2.530494e-05   
3.556480e+01   4.482896e-05   
4.714866e+01   7.676074e-05   
6.250552e+01   1.263409e-04   
8.286428e+01   1.988716e-04   
1.098541e+02   2.983815e-04   
1.456348e+02   4.268759e-04   
1.930698e+02   5.856202e-04   
2.559548e+02   7.767912e-04   
3.393222e+02   9.978590e-04   
4.498433e+02   1.229427e-03   
5.963623e+02   1.447127e-03   
7.906043e+02   1.662889e-03   
1.048113e+03   1.883074e-03   
1.389495e+03   2.106211e-03   
1.842070e+03   2.350855e-03   
2.442053e+03   2.629551e-03   
3.237458e+03   2.952627e-03   
4.291934e+03   3.324534e-03   
5.689866e+03   3.742396e-03   
7.543120e+03   4.195263e-03   
1.000000e+04   4.662537e-03   
