#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.198982E+08   0.198982E+08   0.258192E+08   0.258181E+08   0.198955E+08   0.198982E+08   0.198982E+08   0.199028E+08  -0.461251E+00   0.987910E+07   0.987910E+07   0.431035E-01
   0.798228E-04   0.198979E+08   0.198979E+08   0.256444E+08   0.256431E+08   0.198940E+08   0.198979E+08   0.198979E+08   0.199025E+08  -0.461243E+00   0.987895E+07   0.987895E+07   0.481535E-01
   0.892035E-04   0.198976E+08   0.198976E+08   0.254276E+08   0.254260E+08   0.198920E+08   0.198975E+08   0.198976E+08   0.199020E+08  -0.461232E+00   0.987875E+07   0.987875E+07   0.537910E-01
   0.996866E-04   0.198971E+08   0.198971E+08   0.251592E+08   0.251572E+08   0.198896E+08   0.198970E+08   0.198971E+08   0.199015E+08  -0.461218E+00   0.987851E+07   0.987851E+07   0.600825E-01
   0.111402E-03   0.198965E+08   0.198965E+08   0.248276E+08   0.248251E+08   0.198866E+08   0.198964E+08   0.198965E+08   0.199008E+08  -0.461202E+00   0.987820E+07   0.987820E+07   0.671017E-01
   0.124493E-03   0.198957E+08   0.198957E+08   0.244191E+08   0.244161E+08   0.198829E+08   0.198956E+08   0.198957E+08   0.199000E+08  -0.461181E+00   0.987782E+07   0.987782E+07   0.749295E-01
   0.139124E-03   0.198948E+08   0.198948E+08   0.239176E+08   0.239139E+08   0.198782E+08   0.198947E+08   0.198948E+08   0.198989E+08  -0.461155E+00   0.987735E+07   0.987735E+07   0.836549E-01
   0.155474E-03   0.198937E+08   0.198937E+08   0.233044E+08   0.233000E+08   0.198724E+08   0.198935E+08   0.198937E+08   0.198976E+08  -0.461122E+00   0.987675E+07   0.987675E+07   0.933748E-01
   0.173745E-03   0.198922E+08   0.198922E+08   0.225589E+08   0.225536E+08   0.198651E+08   0.198920E+08   0.198922E+08   0.198960E+08  -0.461082E+00   0.987602E+07   0.987602E+07   0.104194E+00
   0.194163E-03   0.198905E+08   0.198905E+08   0.216584E+08   0.216522E+08   0.198560E+08   0.198902E+08   0.198905E+08   0.198940E+08  -0.461032E+00   0.987510E+07   0.987510E+07   0.116227E+00
   0.216981E-03   0.198883E+08   0.198882E+08   0.205801E+08   0.205729E+08   0.198448E+08   0.198879E+08   0.198882E+08   0.198916E+08  -0.460970E+00   0.987396E+07   0.987396E+07   0.129595E+00
   0.242480E-03   0.198855E+08   0.198855E+08   0.193027E+08   0.192944E+08   0.198307E+08   0.198850E+08   0.198855E+08   0.198885E+08  -0.460894E+00   0.987254E+07   0.987254E+07   0.144425E+00
   0.270976E-03   0.198821E+08   0.198821E+08   0.178099E+08   0.178007E+08   0.198133E+08   0.198815E+08   0.198821E+08   0.198847E+08  -0.460799E+00   0.987078E+07   0.987078E+07   0.160852E+00
   0.302821E-03   0.198778E+08   0.198778E+08   0.160955E+08   0.160855E+08   0.197917E+08   0.198771E+08   0.198778E+08   0.198800E+08  -0.460683E+00   0.986859E+07   0.986859E+07   0.179015E+00
   0.338408E-03   0.198726E+08   0.198726E+08   0.141697E+08   0.141594E+08   0.197649E+08   0.198717E+08   0.198726E+08   0.198742E+08  -0.460541E+00   0.986589E+07   0.986589E+07   0.199054E+00
   0.378178E-03   0.198661E+08   0.198661E+08   0.120675E+08   0.120576E+08   0.197317E+08   0.198650E+08   0.198661E+08   0.198671E+08  -0.460366E+00   0.986255E+07   0.986255E+07   0.221110E+00
   0.422621E-03   0.198581E+08   0.198581E+08   0.985629E+07   0.984754E+07   0.196907E+08   0.198567E+08   0.198581E+08   0.198585E+08  -0.460154E+00   0.985843E+07   0.985843E+07   0.245325E+00
   0.472287E-03   0.198483E+08   0.198483E+08   0.764110E+07   0.763455E+07   0.196403E+08   0.198466E+08   0.198483E+08   0.198479E+08  -0.459896E+00   0.985337E+07   0.985337E+07   0.271838E+00
   0.527790E-03   0.198363E+08   0.198363E+08   0.556186E+07   0.555842E+07   0.195784E+08   0.198341E+08   0.198363E+08   0.198351E+08  -0.459585E+00   0.984717E+07   0.984717E+07   0.300792E+00
   0.589815E-03   0.198216E+08   0.198216E+08   0.377643E+07   0.377656E+07   0.195028E+08   0.198190E+08   0.198216E+08   0.198196E+08  -0.459211E+00   0.983961E+07   0.983961E+07   0.332337E+00
   0.659130E-03   0.198038E+08   0.198038E+08   0.242412E+07   0.242734E+07   0.194114E+08   0.198005E+08   0.198038E+08   0.198009E+08  -0.458763E+00   0.983042E+07   0.983042E+07   0.366645E+00
   0.736590E-03   0.197822E+08   0.197821E+08   0.157195E+07   0.157656E+07   0.193005E+08   0.197781E+08   0.197822E+08   0.197784E+08  -0.458229E+00   0.981930E+07   0.981930E+07   0.403920E+00
