#           k/h    P           
    0.10000E-03    0.48281E+01
    0.10202E-03    0.49226E+01
    0.10408E-03    0.50190E+01
    0.10618E-03    0.51173E+01
    0.10833E-03    0.52175E+01
    0.11052E-03    0.53197E+01
    0.11275E-03    0.54239E+01
    0.11503E-03    0.55301E+01
    0.11735E-03    0.56384E+01
    0.11972E-03    0.57488E+01
    0.12214E-03    0.58613E+01
    0.12461E-03    0.59761E+01
    0.12712E-03    0.60931E+01
    0.12969E-03    0.62124E+01
    0.13231E-03    0.63341E+01
    0.13499E-03    0.64581E+01
    0.13771E-03    0.65845E+01
    0.14049E-03    0.67134E+01
    0.14333E-03    0.68449E+01
    0.14623E-03    0.69789E+01
    0.14918E-03    0.71155E+01
    0.15220E-03    0.72548E+01
    0.15527E-03    0.73968E+01
    0.15841E-03    0.75416E+01
    0.16161E-03    0.76892E+01
    0.16487E-03    0.78397E+01
    0.16820E-03    0.79932E+01
    0.17160E-03    0.81496E+01
    0.17507E-03    0.83091E+01
    0.17860E-03    0.84717E+01
    0.18221E-03    0.86375E+01
    0.18589E-03    0.88066E+01
    0.18965E-03    0.89789E+01
    0.19348E-03    0.91546E+01
    0.19739E-03    0.93337E+01
    0.20138E-03    0.95163E+01
    0.20544E-03    0.97025E+01
    0.20959E-03    0.98924E+01
    0.21383E-03    0.10086E+02
    0.21815E-03    0.10283E+02
    0.22255E-03    0.10484E+02
    0.22705E-03    0.10689E+02
    0.23164E-03    0.10898E+02
    0.23632E-03    0.11112E+02
    0.24109E-03    0.11329E+02
    0.24596E-03    0.11550E+02
    0.25093E-03    0.11776E+02
    0.25600E-03    0.12007E+02
    0.26117E-03    0.12241E+02
    0.26645E-03    0.12481E+02
    0.27183E-03    0.12725E+02
    0.27732E-03    0.12973E+02
    0.28292E-03    0.13227E+02
    0.28864E-03    0.13485E+02
    0.29447E-03    0.13749E+02
    0.30042E-03    0.14017E+02
    0.30649E-03    0.14291E+02
    0.31268E-03    0.14570E+02
    0.31899E-03    0.14855E+02
    0.32544E-03    0.15145E+02
    0.33201E-03    0.15441E+02
    0.33872E-03    0.15742E+02
    0.34556E-03    0.16050E+02
    0.35254E-03    0.16363E+02
    0.35966E-03    0.16682E+02
    0.36693E-03    0.17008E+02
    0.37434E-03    0.17340E+02
    0.38190E-03    0.17678E+02
    0.38962E-03    0.18023E+02
    0.39749E-03    0.18374E+02
    0.40552E-03    0.18732E+02
    0.41371E-03    0.19097E+02
    0.42207E-03    0.19470E+02
    0.43060E-03    0.19849E+02
    0.43929E-03    0.20236E+02
    0.44817E-03    0.20630E+02
    0.45722E-03    0.21031E+02
    0.46646E-03    0.21441E+02
    0.47588E-03    0.21858E+02
    0.48550E-03    0.22283E+02
    0.49530E-03    0.22717E+02
    0.50531E-03    0.23159E+02
    0.51552E-03    0.23609E+02
    0.52593E-03    0.24068E+02
    0.53656E-03    0.24535E+02
    0.54739E-03    0.25012E+02
    0.55845E-03    0.25497E+02
    0.56973E-03    0.25992E+02
    0.58124E-03    0.26497E+02
    0.59299E-03    0.27010E+02
    0.60496E-03    0.27534E+02
    0.61719E-03    0.28068E+02
    0.62965E-03    0.28611E+02
    0.64237E-03    0.29165E+02
    0.65535E-03    0.29730E+02
    0.66859E-03    0.30305E+02
    0.68210E-03    0.30891E+02
    0.69588E-03    0.31487E+02
    0.70993E-03    0.32096E+02
    0.72427E-03    0.32715E+02
    0.73891E-03    0.33346E+02
    0.75383E-03    0.33989E+02
    0.76906E-03    0.34644E+02
    0.78460E-03    0.35311E+02
    0.80045E-03    0.35990E+02
    0.81662E-03    0.36682E+02
    0.83311E-03    0.37387E+02
    0.84994E-03    0.38105E+02
    0.86711E-03    0.38836E+02
    0.88463E-03    0.39580E+02
    0.90250E-03    0.40338E+02
    0.92073E-03    0.41110E+02
    0.93933E-03    0.41896E+02
    0.95831E-03    0.42696E+02
    0.97767E-03    0.43511E+02
    0.99742E-03    0.44341E+02
    0.10176E-02    0.45185E+02
    0.10381E-02    0.46045E+02
    0.10591E-02    0.46919E+02
    0.10805E-02    0.47810E+02
    0.11023E-02    0.48716E+02
    0.11246E-02    0.49639E+02
    0.11473E-02    0.50577E+02
    0.11705E-02    0.51532E+02
    0.11941E-02    0.52504E+02
    0.12182E-02    0.53493E+02
    0.12429E-02    0.54499E+02
    0.12680E-02    0.55522E+02
    0.12936E-02    0.56563E+02
    0.13197E-02    0.57622E+02
    0.13464E-02    0.58699E+02
    0.13736E-02    0.59794E+02
    0.14013E-02    0.60907E+02
    0.14296E-02    0.62040E+02
    0.14585E-02    0.63191E+02
    0.14880E-02    0.64361E+02
    0.15180E-02    0.65550E+02
    0.15487E-02    0.66760E+02
    0.15800E-02    0.67988E+02
    0.16119E-02    0.69237E+02
    0.16445E-02    0.70506E+02
    0.16777E-02    0.71795E+02
    0.17116E-02    0.73104E+02
    0.17462E-02    0.74435E+02
    0.17814E-02    0.75786E+02
    0.18174E-02    0.77158E+02
    0.18541E-02    0.78551E+02
    0.18916E-02    0.79966E+02
    0.19298E-02    0.81402E+02
    0.19688E-02    0.82860E+02
    0.20086E-02    0.84339E+02
    0.20491E-02    0.85841E+02
    0.20905E-02    0.87365E+02
    0.21328E-02    0.88911E+02
    0.21758E-02    0.90479E+02
    0.22198E-02    0.92070E+02
    0.22646E-02    0.93684E+02
    0.23104E-02    0.95320E+02
    0.23571E-02    0.96979E+02
    0.24047E-02    0.98661E+02
    0.24533E-02    0.10037E+03
    0.25028E-02    0.10209E+03
    0.25534E-02    0.10384E+03
    0.26050E-02    0.10562E+03
    0.26576E-02    0.10742E+03
    0.27113E-02    0.10924E+03
    0.27660E-02    0.11108E+03
    0.28219E-02    0.11295E+03
    0.28789E-02    0.11484E+03
    0.29371E-02    0.11675E+03
    0.29964E-02    0.11869E+03
    0.30569E-02    0.12065E+03
    0.31187E-02    0.12263E+03
    0.31817E-02    0.12464E+03
    0.32460E-02    0.12667E+03
    0.33115E-02    0.12872E+03
    0.33784E-02    0.13079E+03
    0.34467E-02    0.13289E+03
    0.35163E-02    0.13500E+03
    0.35874E-02    0.13714E+03
    0.36598E-02    0.13931E+03
    0.37338E-02    0.14149E+03
    0.38092E-02    0.14369E+03
    0.38861E-02    0.14592E+03
    0.39646E-02    0.14816E+03
    0.40447E-02    0.15043E+03
    0.41264E-02    0.15271E+03
    0.42098E-02    0.15502E+03
    0.42948E-02    0.15734E+03
    0.43816E-02    0.15968E+03
    0.44701E-02    0.16204E+03
    0.45604E-02    0.16442E+03
    0.46525E-02    0.16681E+03
    0.47465E-02    0.16922E+03
    0.48424E-02    0.17164E+03
    0.49402E-02    0.17408E+03
    0.50400E-02    0.17653E+03
    0.51419E-02    0.17899E+03
    0.52457E-02    0.18147E+03
    0.53517E-02    0.18395E+03
    0.54598E-02    0.18645E+03
    0.55701E-02    0.18896E+03
    0.56826E-02    0.19147E+03
    0.57974E-02    0.19400E+03
    0.59145E-02    0.19653E+03
    0.60340E-02    0.19906E+03
    0.61559E-02    0.20160E+03
    0.62803E-02    0.20414E+03
    0.64072E-02    0.20669E+03
    0.65366E-02    0.20923E+03
    0.66686E-02    0.21177E+03
    0.68033E-02    0.21431E+03
    0.69408E-02    0.21685E+03
    0.70810E-02    0.21938E+03
    0.72240E-02    0.22190E+03
    0.73700E-02    0.22442E+03
    0.75189E-02    0.22692E+03
    0.76708E-02    0.22942E+03
    0.78257E-02    0.23190E+03
    0.79838E-02    0.23436E+03
    0.81451E-02    0.23681E+03
    0.83096E-02    0.23923E+03
    0.84775E-02    0.24164E+03
    0.86488E-02    0.24402E+03
    0.88235E-02    0.24637E+03
    0.90017E-02    0.24870E+03
    0.91836E-02    0.25100E+03
    0.93691E-02    0.25326E+03
    0.95583E-02    0.25549E+03
    0.97514E-02    0.25768E+03
    0.99484E-02    0.25983E+03
    0.10149E-01    0.26194E+03
    0.10354E-01    0.26400E+03
    0.10564E-01    0.26602E+03
    0.10777E-01    0.26798E+03
    0.10995E-01    0.26989E+03
    0.11217E-01    0.27174E+03
    0.11443E-01    0.27354E+03
    0.11675E-01    0.27527E+03
    0.11910E-01    0.27693E+03
    0.12151E-01    0.27853E+03
    0.12397E-01    0.28005E+03
    0.12647E-01    0.28151E+03
    0.12902E-01    0.28288E+03
    0.13163E-01    0.28417E+03
    0.13429E-01    0.28538E+03
    0.13700E-01    0.28650E+03
    0.13977E-01    0.28753E+03
    0.14259E-01    0.28847E+03
    0.14547E-01    0.28930E+03
    0.14841E-01    0.29004E+03
    0.15141E-01    0.29068E+03
    0.15447E-01    0.29120E+03
    0.15759E-01    0.29162E+03
    0.16077E-01    0.29193E+03
    0.16402E-01    0.29212E+03
    0.16734E-01    0.29219E+03
    0.17072E-01    0.29215E+03
    0.17416E-01    0.29197E+03
    0.17768E-01    0.29168E+03
    0.18127E-01    0.29125E+03
    0.18493E-01    0.29070E+03
    0.18867E-01    0.29001E+03
    0.19248E-01    0.28919E+03
    0.19637E-01    0.28823E+03
    0.20034E-01    0.28714E+03
    0.20438E-01    0.28591E+03
    0.20851E-01    0.28455E+03
    0.21272E-01    0.28304E+03
    0.21702E-01    0.28140E+03
    0.22141E-01    0.27962E+03
    0.22588E-01    0.27771E+03
    0.23044E-01    0.27566E+03
    0.23510E-01    0.27348E+03
    0.23985E-01    0.27117E+03
    0.24469E-01    0.26873E+03
    0.24964E-01    0.26616E+03
    0.25468E-01    0.26348E+03
    0.25982E-01    0.26068E+03
    0.26507E-01    0.25776E+03
    0.27043E-01    0.25474E+03
    0.27589E-01    0.25162E+03
    0.28146E-01    0.24840E+03
    0.28715E-01    0.24510E+03
    0.29295E-01    0.24172E+03
    0.29887E-01    0.23826E+03
    0.30490E-01    0.23474E+03
    0.31106E-01    0.23117E+03
    0.31735E-01    0.22754E+03
    0.32376E-01    0.22388E+03
    0.33030E-01    0.22020E+03
    0.33697E-01    0.21649E+03
    0.34378E-01    0.21278E+03
    0.35072E-01    0.20907E+03
    0.35781E-01    0.20537E+03
    0.36504E-01    0.20170E+03
    0.37241E-01    0.19806E+03
    0.37993E-01    0.19446E+03
    0.38761E-01    0.19092E+03
    0.39544E-01    0.18743E+03
    0.40343E-01    0.18402E+03
    0.41158E-01    0.18069E+03
    0.41989E-01    0.17744E+03
    0.42838E-01    0.17428E+03
    0.43703E-01    0.17123E+03
    0.44586E-01    0.16827E+03
    0.45486E-01    0.16542E+03
    0.46405E-01    0.16268E+03
    0.47343E-01    0.16005E+03
    0.48299E-01    0.15753E+03
    0.49275E-01    0.15511E+03
    0.50270E-01    0.15280E+03
    0.51286E-01    0.15058E+03
    0.52322E-01    0.14845E+03
    0.53379E-01    0.14641E+03
    0.54457E-01    0.14444E+03
    0.55557E-01    0.14253E+03
    0.56680E-01    0.14066E+03
    0.57825E-01    0.13883E+03
    0.58993E-01    0.13702E+03
    0.60184E-01    0.13521E+03
    0.61400E-01    0.13338E+03
    0.62641E-01    0.13151E+03
    0.63906E-01    0.12960E+03
    0.65197E-01    0.12761E+03
    0.66514E-01    0.12554E+03
    0.67858E-01    0.12337E+03
    0.69229E-01    0.12109E+03
    0.70627E-01    0.11870E+03
    0.72054E-01    0.11617E+03
    0.73510E-01    0.11353E+03
    0.74994E-01    0.11076E+03
    0.76509E-01    0.10787E+03
    0.78055E-01    0.10488E+03
    0.79632E-01    0.10181E+03
    0.81241E-01    0.98667E+02
    0.82882E-01    0.95484E+02
    0.84556E-01    0.92287E+02
    0.86264E-01    0.89104E+02
    0.88007E-01    0.85968E+02
    0.89785E-01    0.82910E+02
    0.91598E-01    0.79958E+02
    0.93449E-01    0.77140E+02
    0.95337E-01    0.74481E+02
    0.97263E-01    0.71999E+02
    0.99227E-01    0.69710E+02
    0.10123E+00    0.67619E+02
    0.10328E+00    0.65730E+02
    0.10536E+00    0.64035E+02
    0.10749E+00    0.62522E+02
    0.10966E+00    0.61170E+02
    0.11188E+00    0.59953E+02
    0.11414E+00    0.58839E+02
    0.11644E+00    0.57790E+02
    0.11880E+00    0.56768E+02
    0.12120E+00    0.55731E+02
    0.12365E+00    0.54643E+02
    0.12614E+00    0.53470E+02
    0.12869E+00    0.52188E+02
    0.13129E+00    0.50780E+02
    0.13394E+00    0.49245E+02
    0.13665E+00    0.47591E+02
    0.13941E+00    0.45840E+02
    0.14223E+00    0.44026E+02
    0.14510E+00    0.42189E+02
    0.14803E+00    0.40374E+02
    0.15102E+00    0.38625E+02
    0.15407E+00    0.36984E+02
    0.15718E+00    0.35482E+02
    0.16036E+00    0.34140E+02
    0.16360E+00    0.32967E+02
    0.16690E+00    0.31957E+02
    0.17028E+00    0.31090E+02
    0.17371E+00    0.30335E+02
    0.17722E+00    0.29652E+02
    0.18080E+00    0.28997E+02
    0.18446E+00    0.28324E+02
    0.18818E+00    0.27598E+02
    0.19198E+00    0.26793E+02
    0.19586E+00    0.25900E+02
    0.19982E+00    0.24927E+02
    0.20386E+00    0.23899E+02
    0.20797E+00    0.22851E+02
    0.21218E+00    0.21826E+02
    0.21646E+00    0.20861E+02
    0.22083E+00    0.19986E+02
    0.22530E+00    0.19218E+02
    0.22985E+00    0.18555E+02
    0.23449E+00    0.17983E+02
    0.23923E+00    0.17472E+02
    0.24406E+00    0.16988E+02
    0.24899E+00    0.16497E+02
    0.25402E+00    0.15973E+02
    0.25915E+00    0.15405E+02
    0.26439E+00    0.14798E+02
    0.26973E+00    0.14171E+02
    0.27518E+00    0.13550E+02
    0.28074E+00    0.12964E+02
    0.28641E+00    0.12431E+02
    0.29219E+00    0.11958E+02
    0.29810E+00    0.11540E+02
    0.30412E+00    0.11157E+02
    0.31026E+00    0.10790E+02
    0.31653E+00    0.10417E+02
    0.32292E+00    0.10029E+02
    0.32945E+00    0.96261E+01
    0.33610E+00    0.92208E+01
    0.34289E+00    0.88286E+01
    0.34982E+00    0.84628E+01
    0.35689E+00    0.81293E+01
    0.36409E+00    0.78246E+01
    0.37145E+00    0.75384E+01
    0.37895E+00    0.72589E+01
    0.38661E+00    0.69781E+01
    0.39442E+00    0.66953E+01
    0.40239E+00    0.64159E+01
    0.41052E+00    0.61477E+01
    0.41881E+00    0.58963E+01
    0.42727E+00    0.56621E+01
    0.43590E+00    0.54408E+01
    0.44471E+00    0.52267E+01
    0.45369E+00    0.50159E+01
    0.46286E+00    0.48086E+01
    0.47221E+00    0.46076E+01
    0.48174E+00    0.44161E+01
    0.49148E+00    0.42350E+01
    0.50141E+00    0.40628E+01
    0.51153E+00    0.38968E+01
    0.52187E+00    0.37353E+01
    0.53241E+00    0.35787E+01
    0.54317E+00    0.34282E+01
    0.55414E+00    0.32846E+01
    0.56533E+00    0.31476E+01
    0.57675E+00    0.30160E+01
    0.58840E+00    0.28889E+01
    0.60029E+00    0.27664E+01
    0.61242E+00    0.26488E+01
    0.62479E+00    0.25363E+01
    0.63741E+00    0.24286E+01
    0.65029E+00    0.23250E+01
