# L    TT    EE    TE    PP    TP
2 7.86531E+02 9.66039E-07 2.13476E-02 8.13830E+05 2.16894E+04
3 7.58992E+02 4.56921E-06 4.84691E-02 1.25316E+06 2.57034E+04
4 7.32737E+02 1.31672E-05 8.27761E-02 1.64440E+06 2.75659E+04
5 7.14104E+02 2.97174E-05 1.23616E-01 1.99046E+06 2.83132E+04
6 7.02334E+02 5.77258E-05 1.70426E-01 2.29634E+06 2.84500E+04
7 6.95830E+02 1.01204E-04 2.22687E-01 2.56794E+06 2.82375E+04
8 6.92939E+02 1.64597E-04 2.79714E-01 2.81017E+06 2.78190E+04
9 6.93013E+02 2.52859E-04 3.41056E-01 3.02708E+06 2.72758E+04
10 6.95332E+02 3.71089E-04 4.06028E-01 3.22173E+06 2.66587E+04
11 6.99359E+02 5.25136E-04 4.74160E-01 3.39753E+06 2.60148E+04
12 7.05216E+02 7.20848E-04 5.45312E-01 3.55523E+06 2.53459E+04
13 7.12044E+02 9.64376E-04 6.18174E-01 3.69861E+06 2.46946E+04
14 7.19767E+02 1.26175E-03 6.92431E-01 3.82766E+06 2.40406E+04
15 7.28210E+02 1.62029E-03 7.67445E-01 3.94517E+06 2.34041E+04
16 7.37643E+02 2.04709E-03 8.43494E-01 4.05169E+06 2.27759E+04
17 7.47620E+02 2.54928E-03 9.19303E-01 4.14767E+06 2.21671E+04
18 7.57819E+02 3.13267E-03 9.94030E-01 4.23516E+06 2.15795E+04
19 7.69200E+02 3.80836E-03 1.06849E+00 4.31452E+06 2.10178E+04
20 7.80766E+02 4.57965E-03 1.14129E+00 4.38593E+06 2.04691E+04
21 7.92684E+02 5.45553E-03 1.21177E+00 4.45060E+06 1.99416E+04
22 8.04906E+02 6.44364E-03 1.27968E+00 4.50907E+06 1.94335E+04
23 8.17424E+02 7.55195E-03 1.34462E+00 4.56192E+06 1.89439E+04
24 8.30256E+02 8.78719E-03 1.40550E+00 4.60903E+06 1.84764E+04
25 8.43355E+02 1.01574E-02 1.46231E+00 4.65143E+06 1.80265E+04
26 8.56705E+02 1.16706E-02 1.51525E+00 4.68940E+06 1.75905E+04
27 8.70303E+02 1.33335E-02 1.56338E+00 4.72303E+06 1.71710E+04
28 8.84059E+02 1.51543E-02 1.60578E+00 4.75278E+06 1.67683E+04
29 8.98129E+02 1.71396E-02 1.64200E+00 4.77883E+06 1.63830E+04
30 9.12346E+02 1.92958E-02 1.67285E+00 4.80155E+06 1.60089E+04
31 9.26684E+02 2.16312E-02 1.69724E+00 4.82095E+06 1.56467E+04
32 9.41280E+02 2.41533E-02 1.71470E+00 4.83758E+06 1.52994E+04
33 9.56061E+02 2.68684E-02 1.72394E+00 4.85163E+06 1.49677E+04
34 9.70935E+02 2.97803E-02 1.72616E+00 4.86299E+06 1.46453E+04
35 9.85993E+02 3.28972E-02 1.72089E+00 4.87186E+06 1.43331E+04
36 1.00124E+03 3.62267E-02 1.70713E+00 4.87869E+06 1.40310E+04
