# L    TT    EE    BB    TE
2 1.02194E+03 3.62850E-06 2.38648E-06 2.74214E-02
3 9.84226E+02 1.06475E-05 4.77360E-06 6.23118E-02
4 9.48919E+02 2.48804E-05 7.95749E-06 1.06438E-01
5 9.23927E+02 5.01278E-05 1.19393E-05 1.58963E-01
6 9.08053E+02 9.08915E-05 1.67191E-05 2.19150E-01
7 8.99166E+02 1.52328E-04 2.22996E-05 2.86325E-01
8 8.95089E+02 2.40140E-04 2.86807E-05 3.59616E-01
9 8.94922E+02 3.60691E-04 3.58643E-05 4.38440E-01
10 8.97739E+02 5.20516E-04 4.38532E-05 5.21906E-01
11 9.02799E+02 7.27156E-04 5.26474E-05 6.09421E-01
12 9.10268E+02 9.88118E-04 6.22497E-05 7.00782E-01
13 9.19025E+02 1.31125E-03 7.26628E-05 7.94321E-01
14 9.28996E+02 1.70435E-03 8.38867E-05 8.89621E-01
15 9.39931E+02 2.17668E-03 9.59205E-05 9.85894E-01
16 9.52070E+02 2.73750E-03 1.08783E-04 1.08338E+00
17 9.65044E+02 3.39600E-03 1.22451E-04 1.18059E+00
18 9.78202E+02 4.15949E-03 1.36945E-04 1.27641E+00
19 9.93029E+02 5.04215E-03 1.52253E-04 1.37176E+00
20 1.00804E+03 6.04862E-03 1.68396E-04 1.46489E+00
21 1.02352E+03 7.18992E-03 1.85354E-04 1.55515E+00
22 1.03946E+03 8.47624E-03 2.03147E-04 1.64208E+00
23 1.05577E+03 9.91732E-03 2.21764E-04 1.72501E+00
24 1.07245E+03 1.15223E-02 2.41215E-04 1.80267E+00
25 1.08950E+03 1.33025E-02 2.61500E-04 1.87523E+00
26 1.10692E+03 1.52652E-02 2.82619E-04 1.94260E+00
27 1.12462E+03 1.74216E-02 3.04572E-04 2.00385E+00
28 1.14260E+03 1.97818E-02 3.27368E-04 2.05760E+00
29 1.16094E+03 2.23534E-02 3.50998E-04 2.10347E+00
30 1.17948E+03 2.51464E-02 3.75472E-04 2.14220E+00
31 1.19820E+03 2.81692E-02 4.00779E-04 2.17278E+00
32 1.21729E+03 3.14330E-02 4.26930E-04 2.19419E+00
33 1.23656E+03 3.49441E-02 4.53934E-04 2.20513E+00
34 1.25602E+03 3.87092E-02 4.81771E-04 2.20698E+00
35 1.27576E+03 4.27394E-02 5.10461E-04 2.19910E+00
36 1.29559E+03 4.70419E-02 5.39985E-04 2.18029E+00
37 1.31570E+03 5.16244E-02 5.70362E-04 2.14971E+00
38 1.33599E+03 5.64950E-02 6.01591E-04 2.10810E+00
39 1.35657E+03 6.16547E-02 6.33654E-04 2.05473E+00
40 1.37723E+03 6.71120E-02 6.66570E-04 1.98865E+00
41 1.39817E+03 7.28768E-02 7.00328E-04 1.90924E+00
42 1.41930E+03 7.89549E-02 7.34940E-04 1.81731E+00
43 1.44062E+03 8.53490E-02 7.70395E-04 1.71352E+00
44 1.46202E+03 9.20581E-02 8.06693E-04 1.59611E+00
45 1.48371E+03 9.90898E-02 8.43843E-04 1.46360E+00
46 1.50567E+03 1.06466E-01 8.81837E-04 1.31700E+00
47 1.52772E+03 1.14158E-01 9.20674E-04 1.15761E+00
48 1.54987E+03 1.22192E-01 9.60317E-04 9.83762E-01
49 1.57230E+03 1.30560E-01 1.00091E-03 7.94099E-01
50 1.59509E+03 1.39271E-01 1.04224E-03 5.89600E-01
51 1.61789E+03 1.48324E-01 1.08449E-03 3.71450E-01
52 1.64096E+03 1.57712E-01 1.12749E-03 1.38288E-01
53 1.66441E+03 1.67442E-01 1.17141E-03 -1.11368E-01
54 1.68785E+03 1.77515E-01 1.21617E-03 -3.76287E-01
55 1.71148E+03 1.87921E-01 1.26177E-03 -6.55283E-01
56 1.73539E+03 1.98671E-01 1.30819E-03 -9.49568E-01
57 1.75967E+03 2.09763E-01 1.35545E-03 -1.26047E+00
58 1.78414E+03 2.21189E-01 1.40355E-03 -1.58703E+00
59 1.80869E+03 2.32949E-01 1.45248E-03 -1.92796E+00
60 1.83343E+03 2.45023E-01 1.50224E-03 -2.28260E+00
61 1.85873E+03 2.57394E-01 1.55293E-03 -2.65049E+00
62 1.88403E+03 2.70090E-01 1.60436E-03 -3.03302E+00
63 1.90951E+03 2.83073E-01 1.65662E-03 -3.43159E+00
64 1.93546E+03 2.96408E-01 1.70982E-03 -3.84776E+00
65 1.96150E+03 3.10095E-01 1.76375E-03 -4.28274E+00
66 1.98782E+03 3.24078E-01 1.81851E-03 -4.73505E+00
67 2.01423E+03 3.38368E-01 1.87421E-03 -5.20265E+00
68 2.04101E+03 3.52963E-01 1.93064E-03 -5.68397E+00
69 2.06807E+03 3.67799E-01 1.98800E-03 -6.17641E+00
70 2.09550E+03 3.82895E-01 2.04611E-03 -6.68015E+00
71 2.12311E+03 3.98213E-01 2.10514E-03 -7.19640E+00
72 2.15101E+03 4.13734E-01 2.16500E-03 -7.72628E+00
73 2.17909E+03 4.29451E-01 2.22561E-03 -8.27043E+00
74 2.20735E+03 4.45371E-01 2.28714E-03 -8.82801E+00
75 2.23589E+03 4.61505E-01 2.34950E-03 -9.39838E+00
76 2.26471E+03 4.77879E-01 2.41270E-03 -9.98033E+00
77 2.29381E+03 4.94467E-01 2.47674E-03 -1.05753E+01
78 2.32328E+03 5.11286E-01 2.54160E-03 -1.11832E+01
79 2.35293E+03 5.28272E-01 2.60740E-03 -1.18013E+01
80 2.38286E+03 5.45425E-01 2.67393E-03 -1.24295E+01
81 2.41307E+03 5.62670E-01 2.74139E-03 -1.30690E+01
82 2.44365E+03 5.80045E-01 2.80960E-03 -1.37186E+01
83 2.47451E+03 5.97504E-01 2.87873E-03 -1.43793E+01
84 2.50565E+03 6.15065E-01 2.94879E-03 -1.50483E+01
85 2.53688E+03 6.32681E-01 3.01958E-03 -1.57267E+01
86 2.56848E+03 6.50380E-01 3.09131E-03 -1.64143E+01
87 2.60054E+03 6.68117E-01 3.16387E-03 -1.71093E+01
88 2.63260E+03 6.85909E-01 3.23735E-03 -1.78126E+01
89 2.66513E+03 7.03720E-01 3.31167E-03 -1.85234E+01
90 2.69784E+03 7.21540E-01 3.38683E-03 -1.92397E+01
91 2.73074E+03 7.39332E-01 3.46291E-03 -1.99616E+01
92 2.76401E+03 7.57088E-01 3.53991E-03 -2.06890E+01
93 2.79764E+03 7.74806E-01 3.61776E-03 -2.14220E+01
94 2.83128E+03 7.92440E-01 3.69652E-03 -2.21587E+01
95 2.86529E+03 8.09992E-01 3.77612E-03 -2.28992E+01
96 2.89939E+03 8.27441E-01 3.85665E-03 -2.36433E+01
97 2.93387E+03 8.44779E-01 3.93811E-03 -2.43902E+01
98 2.96862E+03 8.61978E-01 4.02040E-03 -2.51371E+01
99 3.00346E+03 8.79020E-01 4.10371E-03 -2.58877E+01
100 3.03867E+03 8.95886E-01 4.18794E-03 -2.66374E+01
101 3.07398E+03 9.12640E-01 4.27301E-03 -2.73889E+01
102 3.10984E+03 9.29088E-01 4.35910E-03 -2.81395E+01
103 3.14561E+03 9.45398E-01 4.44602E-03 -2.88901E+01
104 3.18175E+03 9.61522E-01 4.53396E-03 -2.96389E+01
105 3.21799E+03 9.77368E-01 4.62283E-03 -3.03849E+01
106 3.25440E+03 9.92937E-01 4.71272E-03 -3.11290E+01
107 3.29092E+03 1.00823E+00 4.80353E-03 -3.18685E+01
108 3.32770E+03 1.02324E+00 4.89527E-03 -3.26052E+01
109 3.36468E+03 1.03788E+00 4.98804E-03 -3.33373E+01
110 3.40175E+03 1.05215E+00 5.08182E-03 -3.40629E+01
111 3.43909E+03 1.06614E+00 5.17652E-03 -3.47829E+01
112 3.47644E+03 1.07977E+00 5.27225E-03 -3.54974E+01
113 3.51415E+03 1.09302E+00 5.36899E-03 -3.62044E+01
114 3.55187E+03 1.10590E+00 5.46667E-03 -3.69031E+01
115 3.58986E+03 1.11841E+00 5.56545E-03 -3.75935E+01
116 3.62795E+03 1.13036E+00 5.66525E-03 -3.82746E+01
117 3.66622E+03 1.14195E+00 5.76608E-03 -3.89465E+01
