#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10051E+04    0.12565E-05    0.00000E+00    0.27765E-01    0.51289E-07    0.29423E-02   -0.43146E-07
     3    0.97241E+03    0.59452E-05    0.00000E+00    0.62964E-01    0.62389E-07    0.29270E-02   -0.73268E-07
     4    0.94051E+03    0.17137E-04    0.00000E+00    0.10750E+00    0.71951E-07    0.28522E-02   -0.10287E-06
     5    0.91786E+03    0.38683E-04    0.00000E+00    0.16053E+00    0.80264E-07    0.27571E-02   -0.13239E-06
     6    0.90366E+03    0.75154E-04    0.00000E+00    0.22135E+00    0.87525E-07    0.26570E-02   -0.16157E-06
     7    0.89599E+03    0.13178E-03    0.00000E+00    0.28925E+00    0.93925E-07    0.25577E-02   -0.19048E-06
     8    0.89281E+03    0.21435E-03    0.00000E+00    0.36337E+00    0.99598E-07    0.24616E-02   -0.21938E-06
     9    0.89331E+03    0.32932E-03    0.00000E+00    0.44313E+00    0.10466E-06    0.23696E-02   -0.24847E-06
    10    0.89661E+03    0.48334E-03    0.00000E+00    0.52761E+00    0.10918E-06    0.22818E-02   -0.27731E-06
    11    0.90204E+03    0.68405E-03    0.00000E+00    0.61625E+00    0.11324E-06    0.21996E-02   -0.30576E-06
    12    0.90977E+03    0.93904E-03    0.00000E+00    0.70882E+00    0.11687E-06    0.21212E-02   -0.33333E-06
    13    0.91870E+03    0.12564E-02    0.00000E+00    0.80365E+00    0.12015E-06    0.20488E-02   -0.36068E-06
    14    0.92875E+03    0.16439E-02    0.00000E+00    0.90031E+00    0.12308E-06    0.19798E-02   -0.38774E-06
    15    0.93970E+03    0.21111E-02    0.00000E+00    0.99799E+00    0.12575E-06    0.19150E-02   -0.41492E-06
    16    0.95189E+03    0.26672E-02    0.00000E+00    0.10970E+01    0.12814E-06    0.18531E-02   -0.44195E-06
    17    0.96476E+03    0.33218E-02    0.00000E+00    0.11958E+01    0.13028E-06    0.17947E-02   -0.46866E-06
    18    0.97790E+03    0.40821E-02    0.00000E+00    0.12933E+01    0.13222E-06    0.17395E-02   -0.49498E-06
    19    0.99254E+03    0.49627E-02    0.00000E+00    0.13903E+01    0.13396E-06    0.16876E-02   -0.52121E-06
    20    0.10074E+04    0.59680E-02    0.00000E+00    0.14852E+01    0.13551E-06    0.16378E-02   -0.54676E-06
    21    0.10227E+04    0.71095E-02    0.00000E+00    0.15772E+01    0.13690E-06    0.15906E-02   -0.57192E-06
    22    0.10384E+04    0.83975E-02    0.00000E+00    0.16660E+01    0.13814E-06    0.15458E-02   -0.59683E-06
    23    0.10544E+04    0.98420E-02    0.00000E+00    0.17509E+01    0.13924E-06    0.15030E-02   -0.62153E-06
    24    0.10709E+04    0.11452E-01    0.00000E+00    0.18304E+01    0.14020E-06    0.14626E-02   -0.64572E-06
