#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.99255E+03    0.29241E-01    0.11279E-02    0.29241E-01    0.13180E-05   -0.18371E-07    0.11279E-02   -0.18371E-07    0.92857E-08
     3    0.97021E+03    0.65992E-01    0.80083E-03    0.65992E-01    0.62442E-05   -0.22036E-07    0.80083E-03   -0.22036E-07    0.56504E-08
     4    0.94526E+03    0.11253E+00    0.60806E-03    0.11253E+00    0.18015E-04   -0.23958E-07    0.60806E-03   -0.23958E-07    0.39124E-08
     5    0.92742E+03    0.16802E+00    0.48204E-03    0.16802E+00    0.40695E-04   -0.25173E-07    0.48204E-03   -0.25173E-07    0.29119E-08
     6    0.91669E+03    0.23172E+00    0.39400E-03    0.23172E+00    0.79110E-04   -0.25966E-07    0.39400E-03   -0.25966E-07    0.22700E-08
     7    0.91162E+03    0.30293E+00    0.32944E-03    0.30293E+00    0.13879E-03   -0.26513E-07    0.32944E-03   -0.26513E-07    0.18286E-08
     8    0.91040E+03    0.38073E+00    0.28037E-03    0.38073E+00    0.22585E-03   -0.26933E-07    0.28037E-03   -0.26933E-07    0.15095E-08
     9    0.91247E+03    0.46455E+00    0.24196E-03    0.46455E+00    0.34712E-03   -0.27290E-07    0.24196E-03   -0.27290E-07    0.12701E-08
    10    0.91699E+03    0.55341E+00    0.21120E-03    0.55341E+00    0.50965E-03   -0.27557E-07    0.21120E-03   -0.27557E-07    0.10849E-08
    11    0.92341E+03    0.64676E+00    0.18621E-03    0.64676E+00    0.72151E-03   -0.27743E-07    0.18621E-03   -0.27743E-07    0.93862E-09
    12    0.93197E+03    0.74435E+00    0.16548E-03    0.74435E+00    0.99075E-03   -0.27823E-07    0.16548E-03   -0.27823E-07    0.82034E-09
    13    0.94154E+03    0.84445E+00    0.14823E-03    0.84445E+00    0.13259E-02   -0.27877E-07    0.14823E-03   -0.27877E-07    0.72353E-09
    14    0.95209E+03    0.94660E+00    0.13356E-03    0.94660E+00    0.17353E-02   -0.27907E-07    0.13356E-03   -0.27907E-07    0.64293E-09
    15    0.96344E+03    0.10500E+01    0.12103E-03    0.10500E+01    0.22289E-02   -0.27944E-07    0.12103E-03   -0.27944E-07    0.57521E-09
    16    0.97594E+03    0.11549E+01    0.11017E-03    0.11549E+01    0.28167E-02   -0.27965E-07    0.11017E-03   -0.27965E-07    0.51766E-09
    17    0.98905E+03    0.12598E+01    0.10073E-03    0.12598E+01    0.35085E-02   -0.27963E-07    0.10073E-03   -0.27963E-07    0.46821E-09
