#    L    TT             EE             TE             PP             TP          
     2    0.96034E+03    0.11910E-05    0.26292E-01    0.10021E+07    0.26356E+05
     3    0.92772E+03    0.56342E-05    0.59666E-01    0.15426E+07    0.31243E+05
     4    0.89632E+03    0.16238E-04    0.10189E+00    0.20237E+07    0.33507E+05
     5    0.87404E+03    0.36651E-04    0.15216E+00    0.24491E+07    0.34409E+05
     6    0.86002E+03    0.71200E-04    0.20979E+00    0.28249E+07    0.34568E+05
     7    0.85236E+03    0.12484E-03    0.27414E+00    0.31584E+07    0.34302E+05
     8    0.84905E+03    0.20304E-03    0.34436E+00    0.34556E+07    0.33785E+05
     9    0.84933E+03    0.31193E-03    0.41991E+00    0.37218E+07    0.33118E+05
    10    0.85232E+03    0.45780E-03    0.49993E+00    0.39604E+07    0.32362E+05
    11    0.85737E+03    0.64787E-03    0.58387E+00    0.41759E+07    0.31574E+05
    12    0.86464E+03    0.88934E-03    0.67151E+00    0.43691E+07    0.30758E+05
    13    0.87308E+03    0.11898E-02    0.76128E+00    0.45446E+07    0.29964E+05
    14    0.88260E+03    0.15568E-02    0.85276E+00    0.47026E+07    0.29168E+05
    15    0.89300E+03    0.19991E-02    0.94519E+00    0.48463E+07    0.28395E+05
    16    0.90459E+03    0.25257E-02    0.10389E+01    0.49766E+07    0.27632E+05
    17    0.91684E+03    0.31454E-02    0.11323E+01    0.50939E+07    0.26893E+05
    18    0.92936E+03    0.38653E-02    0.12245E+01    0.52008E+07    0.26181E+05
    19    0.94333E+03    0.46990E-02    0.13161E+01    0.52977E+07    0.25501E+05
    20    0.95751E+03    0.56508E-02    0.14058E+01    0.53850E+07    0.24837E+05
    21    0.97211E+03    0.67315E-02    0.14927E+01    0.54638E+07    0.24199E+05
    22    0.98710E+03    0.79507E-02    0.15765E+01    0.55352E+07    0.23586E+05
    23    0.10024E+04    0.93183E-02    0.16566E+01    0.55996E+07    0.22996E+05
    24    0.10181E+04    0.10842E-01    0.17315E+01    0.56570E+07    0.22432E+05
    25    0.10342E+04    0.12533E-01    0.18017E+01    0.57086E+07    0.21890E+05
    26    0.10505E+04    0.14400E-01    0.18669E+01    0.57548E+07    0.21365E+05
    27    0.10672E+04    0.16452E-01    0.19263E+01    0.57956E+07    0.20859E+05
    28    0.10840E+04    0.18698E-01    0.19786E+01    0.58318E+07    0.20375E+05
    29    0.11013E+04    0.21148E-01    0.20233E+01    0.58634E+07    0.19912E+05
    30    0.11187E+04    0.23809E-01    0.20613E+01    0.58911E+07    0.19463E+05
    31    0.11363E+04    0.26690E-01    0.20915E+01    0.59145E+07    0.19028E+05
    32    0.11541E+04    0.29802E-01    0.21130E+01    0.59347E+07    0.18611E+05
    33    0.11722E+04    0.33151E-01    0.21246E+01    0.59515E+07    0.18212E+05
    34    0.11904E+04    0.36743E-01    0.21274E+01    0.59652E+07    0.17825E+05
    35    0.12089E+04    0.40589E-01    0.21209E+01    0.59759E+07    0.17451E+05
    36    0.12275E+04    0.44696E-01    0.21041E+01    0.59841E+07    0.17089E+05
    37    0.12463E+04    0.49071E-01    0.20761E+01    0.59897E+07    0.16742E+05
    38    0.12653E+04    0.53722E-01    0.20375E+01    0.59929E+07    0.16406E+05
    39    0.12846E+04    0.58650E-01    0.19877E+01    0.59939E+07    0.16081E+05
    40    0.13039E+04    0.63863E-01    0.19258E+01    0.59929E+07    0.15768E+05
    41    0.13235E+04    0.69372E-01    0.18511E+01    0.59899E+07    0.15466E+05
    42    0.13432E+04    0.75179E-01    0.17645E+01    0.59852E+07    0.15174E+05
    43    0.13632E+04    0.81290E-01    0.16667E+01    0.59788E+07    0.14889E+05
    44    0.13832E+04    0.87702E-01    0.15558E+01    0.59708E+07    0.14613E+05
    45    0.14035E+04    0.94425E-01    0.14305E+01    0.59613E+07    0.14348E+05
    46    0.14240E+04    0.10147E+00    0.12918E+01    0.59504E+07    0.14091E+05
    47    0.14446E+04    0.10883E+00    0.11408E+01    0.59383E+07    0.13841E+05
    48    0.14653E+04    0.11651E+00    0.97606E+00    0.59250E+07    0.13598E+05
    49    0.14863E+04    0.12451E+00    0.79628E+00    0.59105E+07    0.13363E+05
    50    0.15076E+04    0.13284E+00    0.60232E+00    0.58949E+07    0.13136E+05
    51    0.15288E+04    0.14150E+00    0.39527E+00    0.58784E+07    0.12914E+05
    52    0.15505E+04    0.15047E+00    0.17389E+00    0.58610E+07    0.12699E+05
    53    0.15723E+04    0.15978E+00   -0.63149E-01    0.58428E+07    0.12491E+05
    54    0.15943E+04    0.16941E+00   -0.31476E+00    0.58237E+07    0.12289E+05
    55    0.16163E+04    0.17936E+00   -0.57988E+00    0.58038E+07    0.12092E+05
    56    0.16387E+04    0.18965E+00   -0.85957E+00    0.57832E+07    0.11900E+05
    57    0.16614E+04    0.20025E+00   -0.11550E+01    0.57621E+07    0.11715E+05
    58    0.16842E+04    0.21118E+00   -0.14655E+01    0.57403E+07    0.11534E+05
    59    0.17072E+04    0.22243E+00   -0.17898E+01    0.57180E+07    0.11358E+05
    60    0.17303E+04    0.23397E+00   -0.21271E+01    0.56951E+07    0.11185E+05
    61    0.17540E+04    0.24580E+00   -0.24767E+01    0.56718E+07    0.11018E+05
    62    0.17777E+04    0.25793E+00   -0.28401E+01    0.56480E+07    0.10855E+05
    63    0.18015E+04    0.27035E+00   -0.32188E+01    0.56238E+07    0.10697E+05
    64    0.18258E+04    0.28310E+00   -0.36147E+01    0.55993E+07    0.10543E+05
    65    0.18500E+04    0.29618E+00   -0.40289E+01    0.55743E+07    0.10393E+05
    66    0.18746E+04    0.30957E+00   -0.44600E+01    0.55491E+07    0.10246E+05
    67    0.18993E+04    0.32323E+00   -0.49058E+01    0.55236E+07    0.10104E+05
    68    0.19244E+04    0.33719E+00   -0.53645E+01    0.54978E+07    0.99646E+04
    69    0.19497E+04    0.35138E+00   -0.58334E+01    0.54718E+07    0.98286E+04
    70    0.19753E+04    0.36582E+00   -0.63128E+01    0.54456E+07    0.96957E+04
