#           k/h    P           
    0.10000E-03    0.69103E+00
    0.10202E-03    0.70456E+00
    0.10408E-03    0.71836E+00
    0.10618E-03    0.73243E+00
    0.10833E-03    0.74677E+00
    0.11052E-03    0.76139E+00
    0.11275E-03    0.77630E+00
    0.11503E-03    0.79150E+00
    0.11735E-03    0.80700E+00
    0.11972E-03    0.82280E+00
    0.12214E-03    0.83891E+00
    0.12461E-03    0.85534E+00
    0.12712E-03    0.87209E+00
    0.12969E-03    0.88916E+00
    0.13231E-03    0.90657E+00
    0.13499E-03    0.92432E+00
    0.13771E-03    0.94241E+00
    0.14049E-03    0.96086E+00
    0.14333E-03    0.97968E+00
    0.14623E-03    0.99885E+00
    0.14918E-03    0.10184E+01
    0.15220E-03    0.10383E+01
    0.15527E-03    0.10587E+01
    0.15841E-03    0.10794E+01
    0.16161E-03    0.11005E+01
    0.16487E-03    0.11221E+01
    0.16820E-03    0.11440E+01
    0.17160E-03    0.11664E+01
    0.17507E-03    0.11892E+01
    0.17860E-03    0.12125E+01
    0.18221E-03    0.12362E+01
    0.18589E-03    0.12604E+01
    0.18965E-03    0.12851E+01
    0.19348E-03    0.13102E+01
    0.19739E-03    0.13359E+01
    0.20138E-03    0.13620E+01
    0.20544E-03    0.13887E+01
    0.20959E-03    0.14158E+01
    0.21383E-03    0.14435E+01
    0.21815E-03    0.14718E+01
    0.22255E-03    0.15005E+01
    0.22705E-03    0.15299E+01
    0.23164E-03    0.15598E+01
    0.23632E-03    0.15903E+01
    0.24109E-03    0.16214E+01
    0.24596E-03    0.16531E+01
    0.25093E-03    0.16854E+01
    0.25600E-03    0.17184E+01
    0.26117E-03    0.17520E+01
    0.26645E-03    0.17862E+01
    0.27183E-03    0.18211E+01
    0.27732E-03    0.18567E+01
    0.28292E-03    0.18930E+01
    0.28864E-03    0.19300E+01
    0.29447E-03    0.19677E+01
    0.30042E-03    0.20062E+01
    0.30649E-03    0.20453E+01
    0.31268E-03    0.20853E+01
    0.31899E-03    0.21260E+01
    0.32544E-03    0.21675E+01
    0.33201E-03    0.22098E+01
    0.33872E-03    0.22530E+01
    0.34556E-03    0.22969E+01
    0.35254E-03    0.23418E+01
    0.35966E-03    0.23875E+01
    0.36693E-03    0.24340E+01
    0.37434E-03    0.24815E+01
    0.38190E-03    0.25299E+01
    0.38962E-03    0.25792E+01
    0.39749E-03    0.26295E+01
    0.40552E-03    0.26808E+01
    0.41371E-03    0.27330E+01
    0.42207E-03    0.27863E+01
    0.43060E-03    0.28405E+01
    0.43929E-03    0.28958E+01
    0.44817E-03    0.29522E+01
    0.45722E-03    0.30097E+01
    0.46646E-03    0.30683E+01
    0.47588E-03    0.31279E+01
    0.48550E-03    0.31888E+01
    0.49530E-03    0.32508E+01
    0.50531E-03    0.33140E+01
    0.51552E-03    0.33783E+01
    0.52593E-03    0.34440E+01
    0.53656E-03    0.35108E+01
    0.54739E-03    0.35790E+01
    0.55845E-03    0.36484E+01
    0.56973E-03    0.37192E+01
    0.58124E-03    0.37913E+01
    0.59299E-03    0.38648E+01
    0.60496E-03    0.39396E+01
    0.61719E-03    0.40159E+01
    0.62965E-03    0.40936E+01
    0.64237E-03    0.41728E+01
    0.65535E-03    0.42535E+01
    0.66859E-03    0.43357E+01
    0.68210E-03    0.44194E+01
    0.69588E-03    0.45047E+01
    0.70993E-03    0.45916E+01
    0.72427E-03    0.46802E+01
    0.73891E-03    0.47703E+01
    0.75383E-03    0.48622E+01
    0.76906E-03    0.49557E+01
    0.78460E-03    0.50510E+01
    0.80045E-03    0.51480E+01
    0.81662E-03    0.52468E+01
    0.83311E-03    0.53475E+01
    0.84994E-03    0.54499E+01
    0.86711E-03    0.55543E+01
    0.88463E-03    0.56605E+01
    0.90250E-03    0.57687E+01
    0.92073E-03    0.58788E+01
    0.93933E-03    0.59909E+01
    0.95831E-03    0.61051E+01
    0.97767E-03    0.62212E+01
    0.99742E-03    0.63395E+01
    0.10176E-02    0.64598E+01
    0.10381E-02    0.65823E+01
    0.10591E-02    0.67070E+01
    0.10805E-02    0.68338E+01
    0.11023E-02    0.69628E+01
    0.11246E-02    0.70941E+01
    0.11473E-02    0.72276E+01
    0.11705E-02    0.73635E+01
    0.11941E-02    0.75017E+01
    0.12182E-02    0.76422E+01
    0.12429E-02    0.77851E+01
    0.12680E-02    0.79304E+01
    0.12936E-02    0.80781E+01
    0.13197E-02    0.82283E+01
    0.13464E-02    0.83810E+01
    0.13736E-02    0.85361E+01
    0.14013E-02    0.86938E+01
    0.14296E-02    0.88540E+01
    0.14585E-02    0.90168E+01
    0.14880E-02    0.91821E+01
    0.15180E-02    0.93500E+01
    0.15487E-02    0.95206E+01
    0.15800E-02    0.96937E+01
    0.16119E-02    0.98695E+01
    0.16445E-02    0.10048E+02
    0.16777E-02    0.10229E+02
    0.17116E-02    0.10413E+02
    0.17462E-02    0.10599E+02
    0.17814E-02    0.10788E+02
    0.18174E-02    0.10980E+02
    0.18541E-02    0.11175E+02
    0.18916E-02    0.11372E+02
    0.19298E-02    0.11572E+02
    0.19688E-02    0.11774E+02
    0.20086E-02    0.11979E+02
    0.20491E-02    0.12187E+02
    0.20905E-02    0.12397E+02
    0.21328E-02    0.12610E+02
    0.21758E-02    0.12826E+02
    0.22198E-02    0.13044E+02
    0.22646E-02    0.13264E+02
    0.23104E-02    0.13487E+02
    0.23571E-02    0.13713E+02
    0.24047E-02    0.13941E+02
    0.24533E-02    0.14171E+02
    0.25028E-02    0.14404E+02
    0.25534E-02    0.14638E+02
    0.26050E-02    0.14876E+02
    0.26576E-02    0.15115E+02
    0.27113E-02    0.15356E+02
    0.27660E-02    0.15600E+02
    0.28219E-02    0.15845E+02
    0.28789E-02    0.16092E+02
    0.29371E-02    0.16341E+02
    0.29964E-02    0.16592E+02
    0.30569E-02    0.16845E+02
    0.31187E-02    0.17099E+02
    0.31817E-02    0.17354E+02
    0.32460E-02    0.17611E+02
    0.33115E-02    0.17869E+02
    0.33784E-02    0.18128E+02
    0.34467E-02    0.18389E+02
    0.35163E-02    0.18650E+02
    0.35874E-02    0.18912E+02
    0.36598E-02    0.19175E+02
    0.37338E-02    0.19439E+02
    0.38092E-02    0.19703E+02
    0.38861E-02    0.19967E+02
    0.39646E-02    0.20232E+02
    0.40447E-02    0.20497E+02
    0.41264E-02    0.20762E+02
    0.42098E-02    0.21027E+02
    0.42948E-02    0.21292E+02
    0.43816E-02    0.21556E+02
    0.44701E-02    0.21820E+02
    0.45604E-02    0.22084E+02
    0.46525E-02    0.22346E+02
    0.47465E-02    0.22608E+02
    0.48424E-02    0.22869E+02
    0.49402E-02    0.23129E+02
    0.50400E-02    0.23387E+02
    0.51419E-02    0.23644E+02
    0.52457E-02    0.23899E+02
    0.53517E-02    0.24153E+02
    0.54598E-02    0.24405E+02
    0.55701E-02    0.24655E+02
    0.56826E-02    0.24903E+02
    0.57974E-02    0.25148E+02
    0.59145E-02    0.25391E+02
    0.60340E-02    0.25631E+02
    0.61559E-02    0.25868E+02
    0.62803E-02    0.26102E+02
    0.64072E-02    0.26333E+02
    0.65366E-02    0.26560E+02
    0.66686E-02    0.26784E+02
    0.68033E-02    0.27003E+02
    0.69408E-02    0.27218E+02
    0.70810E-02    0.27429E+02
    0.72240E-02    0.27635E+02
    0.73700E-02    0.27836E+02
    0.75189E-02    0.28031E+02
    0.76708E-02    0.28221E+02
    0.78257E-02    0.28404E+02
    0.79838E-02    0.28582E+02
