#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.407705E+06   0.407705E+06   0.543378E+06   0.543364E+06   0.414032E+06   0.407867E+06   0.407705E+06   0.411738E+06  -0.601987E+00   0.406698E+06   0.406698E+06   0.120774E+01
   0.798228E-04   0.407704E+06   0.407704E+06   0.543319E+06   0.543301E+06   0.414019E+06   0.407866E+06   0.407704E+06   0.411736E+06  -0.601983E+00   0.406696E+06   0.406696E+06   0.134966E+01
   0.892035E-04   0.407702E+06   0.407702E+06   0.543246E+06   0.543223E+06   0.414004E+06   0.407864E+06   0.407702E+06   0.411733E+06  -0.601979E+00   0.406694E+06   0.406694E+06   0.150826E+01
   0.996866E-04   0.407700E+06   0.407699E+06   0.543154E+06   0.543126E+06   0.413984E+06   0.407861E+06   0.407700E+06   0.411730E+06  -0.601974E+00   0.406692E+06   0.406692E+06   0.168549E+01
   0.111402E-03   0.407697E+06   0.407696E+06   0.543039E+06   0.543005E+06   0.413959E+06   0.407858E+06   0.407697E+06   0.411726E+06  -0.601968E+00   0.406689E+06   0.406689E+06   0.188354E+01
   0.124493E-03   0.407694E+06   0.407693E+06   0.542896E+06   0.542853E+06   0.413928E+06   0.407854E+06   0.407694E+06   0.411721E+06  -0.601960E+00   0.406685E+06   0.406685E+06   0.210485E+01
   0.139124E-03   0.407690E+06   0.407688E+06   0.542717E+06   0.542663E+06   0.413890E+06   0.407848E+06   0.407690E+06   0.411714E+06  -0.601950E+00   0.406681E+06   0.406680E+06   0.235216E+01
   0.155474E-03   0.407685E+06   0.407683E+06   0.542494E+06   0.542427E+06   0.413842E+06   0.407842E+06   0.407684E+06   0.411706E+06  -0.601938E+00   0.406675E+06   0.406675E+06   0.262851E+01
   0.173745E-03   0.407678E+06   0.407676E+06   0.542216E+06   0.542132E+06   0.413782E+06   0.407834E+06   0.407678E+06   0.411696E+06  -0.601923E+00   0.406668E+06   0.406667E+06   0.293730E+01
   0.194163E-03   0.407670E+06   0.407667E+06   0.541868E+06   0.541763E+06   0.413707E+06   0.407824E+06   0.407669E+06   0.411684E+06  -0.601904E+00   0.406659E+06   0.406658E+06   0.328234E+01
