#    L    TT             EE             BB             TE          
     2    0.10211E+04    0.43083E-05    0.29001E-05    0.30932E-01
     3    0.10004E+04    0.12478E-04    0.58009E-05    0.69732E-01
     4    0.97634E+03    0.28942E-04    0.96699E-05    0.11889E+00
     5    0.95914E+03    0.58058E-04    0.14508E-04    0.17752E+00
     6    0.94899E+03    0.10500E-03    0.20317E-04    0.24487E+00
     7    0.94450E+03    0.17569E-03    0.27097E-04    0.32019E+00
     8    0.94385E+03    0.27670E-03    0.34851E-04    0.40253E+00
     9    0.94652E+03    0.41535E-03    0.43580E-04    0.49127E+00
    10    0.95162E+03    0.59919E-03    0.53286E-04    0.58537E+00
    11    0.95863E+03    0.83688E-03    0.63971E-04    0.68427E+00
    12    0.96781E+03    0.11371E-02    0.75638E-04    0.78768E+00
    13    0.97798E+03    0.15088E-02    0.88288E-04    0.89378E+00
    14    0.98912E+03    0.19612E-02    0.10192E-03    0.10021E+01
    15    0.10010E+04    0.25048E-02    0.11655E-03    0.11117E+01
    16    0.10141E+04    0.31502E-02    0.13216E-03    0.12229E+01
    17    0.10278E+04    0.39082E-02    0.14877E-03    0.13342E+01
    18    0.10417E+04    0.47871E-02    0.16637E-03    0.14441E+01
    19    0.10570E+04    0.58032E-02    0.18496E-03    0.15537E+01
    20    0.10725E+04    0.69618E-02    0.20456E-03    0.16612E+01
    21    0.10884E+04    0.82757E-02    0.22516E-03    0.17655E+01
    22    0.11046E+04    0.97565E-02    0.24676E-03    0.18664E+01
    23    0.11211E+04    0.11416E-01    0.26937E-03    0.19634E+01
    24    0.11379E+04    0.13264E-01    0.29298E-03    0.20544E+01
    25    0.11551E+04    0.15312E-01    0.31761E-03    0.21399E+01
    26    0.11725E+04    0.17571E-01    0.34324E-03    0.22199E+01
    27    0.11903E+04    0.20053E-01    0.36989E-03    0.22933E+01
    28    0.12081E+04    0.22769E-01    0.39755E-03    0.23586E+01
    29    0.12264E+04    0.25728E-01    0.42622E-03    0.24152E+01
    30    0.12448E+04    0.28941E-01    0.45591E-03    0.24640E+01
    31    0.12634E+04    0.32418E-01    0.48662E-03    0.25039E+01
    32    0.12823E+04    0.36170E-01    0.51835E-03    0.25340E+01
    33    0.13013E+04    0.40208E-01    0.55110E-03    0.25526E+01
    34    0.13206E+04    0.44536E-01    0.58486E-03    0.25608E+01
    35    0.13400E+04    0.49168E-01    0.61965E-03    0.25585E+01
    36    0.13596E+04    0.54112E-01    0.65546E-03    0.25443E+01
    37    0.13794E+04    0.59376E-01    0.69228E-03    0.25173E+01
    38    0.13994E+04    0.64968E-01    0.73013E-03    0.24779E+01
    39    0.14197E+04    0.70892E-01    0.76900E-03    0.24254E+01
    40    0.14400E+04    0.77156E-01    0.80889E-03    0.23589E+01
    41    0.14606E+04    0.83771E-01    0.84980E-03    0.22778E+01
    42    0.14813E+04    0.90742E-01    0.89173E-03    0.21829E+01
    43    0.15023E+04    0.98073E-01    0.93468E-03    0.20749E+01
    44    0.15234E+04    0.10576E+00    0.97865E-03    0.19518E+01
    45    0.15447E+04    0.11382E+00    0.10236E-02    0.18123E+01
    46    0.15663E+04    0.12227E+00    0.10696E-02    0.16571E+01
    47    0.15880E+04    0.13108E+00    0.11167E-02    0.14874E+01
    48    0.16098E+04    0.14027E+00    0.11647E-02    0.13018E+01
    49    0.16319E+04    0.14984E+00    0.12138E-02    0.10993E+01
    50    0.16543E+04    0.15980E+00    0.12638E-02    0.88034E+00
    51    0.16768E+04    0.17015E+00    0.13149E-02    0.64573E+00
    52    0.16996E+04    0.18087E+00    0.13670E-02    0.39454E+00
    53    0.17227E+04    0.19199E+00    0.14201E-02    0.12574E+00
    54    0.17458E+04    0.20348E+00    0.14742E-02   -0.15988E+00
    55    0.17692E+04    0.21535E+00    0.15293E-02   -0.46156E+00
    56    0.17929E+04    0.22761E+00    0.15855E-02   -0.78005E+00
    57    0.18168E+04    0.24024E+00    0.16426E-02   -0.11162E+01
    58    0.18410E+04    0.25326E+00    0.17007E-02   -0.14696E+01
    59    0.18653E+04    0.26665E+00    0.17599E-02   -0.18396E+01
    60    0.18899E+04    0.28037E+00    0.18200E-02   -0.22250E+01
    61    0.19151E+04    0.29445E+00    0.18812E-02   -0.26249E+01
    62    0.19403E+04    0.30886E+00    0.19434E-02   -0.30406E+01
    63    0.19656E+04    0.32361E+00    0.20065E-02   -0.34737E+01
    64    0.19914E+04    0.33874E+00    0.20707E-02   -0.39260E+01
    65    0.20172E+04    0.35425E+00    0.21358E-02   -0.43986E+01
    66    0.20434E+04    0.37011E+00    0.22020E-02   -0.48902E+01
    67    0.20697E+04    0.38628E+00    0.22692E-02   -0.53984E+01
    68    0.20965E+04    0.40278E+00    0.23373E-02   -0.59217E+01
    69    0.21234E+04    0.41956E+00    0.24065E-02   -0.64570E+01
    70    0.21508E+04    0.43660E+00    0.24766E-02   -0.70048E+01
    71    0.21784E+04    0.45389E+00    0.25478E-02   -0.75663E+01
    72    0.22063E+04    0.47140E+00    0.26199E-02   -0.81426E+01
    73    0.22344E+04    0.48912E+00    0.26931E-02   -0.87345E+01
    74    0.22627E+04    0.50704E+00    0.27673E-02   -0.93410E+01
    75    0.22914E+04    0.52520E+00    0.28424E-02   -0.99610E+01
    76    0.23203E+04    0.54360E+00    0.29186E-02   -0.10594E+02
    77    0.23496E+04    0.56222E+00    0.29958E-02   -0.11241E+02
    78    0.23792E+04    0.58109E+00    0.30739E-02   -0.11902E+02
    79    0.24091E+04    0.60012E+00    0.31531E-02   -0.12574E+02
    80    0.24393E+04    0.61931E+00    0.32333E-02   -0.13257E+02
    81    0.24698E+04    0.63860E+00    0.33145E-02   -0.13951E+02
    82    0.25006E+04    0.65800E+00    0.33967E-02   -0.14657E+02
    83    0.25317E+04    0.67748E+00    0.34800E-02   -0.15374E+02
    84    0.25631E+04    0.69705E+00    0.35642E-02   -0.16100E+02
    85    0.25948E+04    0.71666E+00    0.36495E-02   -0.16836E+02
    86    0.26267E+04    0.73633E+00    0.37358E-02   -0.17581E+02
    87    0.26591E+04    0.75602E+00    0.38231E-02   -0.18334E+02
    88    0.26916E+04    0.77574E+00    0.39115E-02   -0.19095E+02
    89    0.27245E+04    0.79547E+00    0.40009E-02   -0.19865E+02
    90    0.27577E+04    0.81516E+00    0.40914E-02   -0.20640E+02
    91    0.27912E+04    0.83481E+00    0.41828E-02   -0.21421E+02
    92    0.28249E+04    0.85438E+00    0.42754E-02   -0.22207E+02
    93    0.28590E+04    0.87388E+00    0.43690E-02   -0.22998E+02
    94    0.28933E+04    0.89326E+00    0.44636E-02   -0.23792E+02
    95    0.29279E+04    0.91250E+00    0.45593E-02   -0.24591E+02
    96    0.29625E+04    0.93161E+00    0.46561E-02   -0.25393E+02
    97    0.29976E+04    0.95054E+00    0.47540E-02   -0.26197E+02
    98    0.30330E+04    0.96930E+00    0.48529E-02   -0.27001E+02
    99    0.30685E+04    0.98785E+00    0.49530E-02   -0.27808E+02
   100    0.31044E+04    0.10062E+01    0.50541E-02   -0.28613E+02
   101    0.31404E+04    0.10243E+01    0.51563E-02   -0.29419E+02
   102    0.31770E+04    0.10421E+01    0.52596E-02   -0.30224E+02
   103    0.32135E+04    0.10597E+01    0.53641E-02   -0.31028E+02
   104    0.32503E+04    0.10770E+01    0.54697E-02   -0.31828E+02
   105    0.32873E+04    0.10940E+01    0.55763E-02   -0.32626E+02
   106    0.33245E+04    0.11107E+01    0.56842E-02   -0.33419E+02
   107    0.33617E+04    0.11270E+01    0.57931E-02   -0.34208E+02
   108    0.33993E+04    0.11430E+01    0.59033E-02   -0.34992E+02
   109    0.34371E+04    0.11585E+01    0.60146E-02   -0.35770E+02
   110    0.34749E+04    0.11736E+01    0.61270E-02   -0.36540E+02
   111    0.35130E+04    0.11883E+01    0.62406E-02   -0.37304E+02
   112    0.35512E+04    0.12025E+01    0.63554E-02   -0.38060E+02
   113    0.35896E+04    0.12164E+01    0.64714E-02   -0.38806E+02
   114    0.36282E+04    0.12297E+01    0.65886E-02   -0.39543E+02
   115    0.36669E+04    0.12426E+01    0.67070E-02   -0.40270E+02
   116    0.37057E+04    0.12549E+01    0.68267E-02   -0.40986E+02
   117    0.37448E+04    0.12667E+01    0.69475E-02   -0.41689E+02
   118    0.37841E+04    0.12781E+01    0.70696E-02   -0.42381E+02
   119    0.38233E+04    0.12889E+01    0.71929E-02   -0.43059E+02
   120    0.38627E+04    0.12991E+01    0.73175E-02   -0.43724E+02
   121    0.39022E+04    0.13089E+01    0.74433E-02   -0.44374E+02
   122    0.39416E+04    0.13180E+01    0.75704E-02   -0.45008E+02
   123    0.39812E+04    0.13265E+01    0.76988E-02   -0.45628E+02
   124    0.40208E+04    0.13344E+01    0.78285E-02   -0.46229E+02
   125    0.40604E+04    0.13418E+01    0.79594E-02   -0.46813E+02
   126    0.41000E+04    0.13486E+01    0.80917E-02   -0.47380E+02
