#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.183707E+08   0.183707E+08   0.238915E+08   0.238906E+08   0.183689E+08   0.183707E+08   0.183707E+08   0.183745E+08  -0.472527E+00   0.967260E+07   0.967260E+07   0.381066E-01
   0.798228E-04   0.183704E+08   0.183704E+08   0.237434E+08   0.237422E+08   0.183678E+08   0.183704E+08   0.183704E+08   0.183742E+08  -0.472519E+00   0.967247E+07   0.967247E+07   0.425726E-01
   0.892035E-04   0.183701E+08   0.183701E+08   0.235595E+08   0.235581E+08   0.183664E+08   0.183701E+08   0.183701E+08   0.183739E+08  -0.472510E+00   0.967231E+07   0.967231E+07   0.475586E-01
   0.996866E-04   0.183698E+08   0.183698E+08   0.233317E+08   0.233300E+08   0.183647E+08   0.183697E+08   0.183698E+08   0.183735E+08  -0.472499E+00   0.967211E+07   0.967211E+07   0.531239E-01
   0.111402E-03   0.183693E+08   0.183693E+08   0.230501E+08   0.230480E+08   0.183625E+08   0.183693E+08   0.183693E+08   0.183730E+08  -0.472485E+00   0.967187E+07   0.967187E+07   0.593340E-01
   0.124493E-03   0.183688E+08   0.183688E+08   0.227028E+08   0.227001E+08   0.183598E+08   0.183687E+08   0.183688E+08   0.183723E+08  -0.472467E+00   0.967156E+07   0.967156E+07   0.662610E-01
   0.139124E-03   0.183681E+08   0.183681E+08   0.222757E+08   0.222725E+08   0.183565E+08   0.183680E+08   0.183681E+08   0.183715E+08  -0.472445E+00   0.967118E+07   0.967118E+07   0.739843E-01
   0.155474E-03   0.183672E+08   0.183672E+08   0.217527E+08   0.217489E+08   0.183523E+08   0.183671E+08   0.183672E+08   0.183706E+08  -0.472418E+00   0.967070E+07   0.967070E+07   0.825906E-01
   0.173745E-03   0.183661E+08   0.183661E+08   0.211154E+08   0.211107E+08   0.183472E+08   0.183659E+08   0.183661E+08   0.183693E+08  -0.472384E+00   0.967011E+07   0.967011E+07   0.921744E-01
   0.194163E-03   0.183647E+08   0.183647E+08   0.203435E+08   0.203380E+08   0.183407E+08   0.183645E+08   0.183647E+08   0.183678E+08  -0.472342E+00   0.966936E+07   0.966936E+07   0.102838E+00
   0.216981E-03   0.183630E+08   0.183630E+08   0.194160E+08   0.194096E+08   0.183326E+08   0.183628E+08   0.183630E+08   0.183659E+08  -0.472290E+00   0.966844E+07   0.966844E+07   0.114691E+00
   0.242480E-03   0.183609E+08   0.183609E+08   0.183124E+08   0.183050E+08   0.183226E+08   0.183606E+08   0.183609E+08   0.183636E+08  -0.472225E+00   0.966730E+07   0.966730E+07   0.127851E+00
   0.270976E-03   0.183583E+08   0.183583E+08   0.170155E+08   0.170072E+08   0.183101E+08   0.183579E+08   0.183583E+08   0.183606E+08  -0.472145E+00   0.966587E+07   0.966587E+07   0.142441E+00
   0.302821E-03   0.183551E+08   0.183551E+08   0.155156E+08   0.155065E+08   0.182946E+08   0.183546E+08   0.183551E+08   0.183571E+08  -0.472047E+00   0.966410E+07   0.966410E+07   0.158588E+00
   0.338408E-03   0.183510E+08   0.183510E+08   0.138154E+08   0.138058E+08   0.182753E+08   0.183504E+08   0.183510E+08   0.183526E+08  -0.471926E+00   0.966191E+07   0.966191E+07   0.176424E+00
   0.378178E-03   0.183461E+08   0.183461E+08   0.119377E+08   0.119281E+08   0.182515E+08   0.183453E+08   0.183461E+08   0.183472E+08  -0.471778E+00   0.965920E+07   0.965920E+07   0.196083E+00
   0.422621E-03   0.183399E+08   0.183399E+08   0.993216E+07   0.992342E+07   0.182220E+08   0.183390E+08   0.183399E+08   0.183406E+08  -0.471597E+00   0.965586E+07   0.965586E+07   0.217698E+00
   0.472287E-03   0.183324E+08   0.183324E+08   0.788216E+07   0.787513E+07   0.181855E+08   0.183312E+08   0.183324E+08   0.183324E+08  -0.471377E+00   0.965174E+07   0.965174E+07   0.241402E+00
   0.527790E-03   0.183231E+08   0.183231E+08   0.590504E+07   0.590065E+07   0.181407E+08   0.183216E+08   0.183231E+08   0.183226E+08  -0.471111E+00   0.964670E+07   0.964670E+07   0.267332E+00
   0.589815E-03   0.183118E+08   0.183118E+08   0.414246E+07   0.414133E+07   0.180857E+08   0.183099E+08   0.183118E+08   0.183106E+08  -0.470791E+00   0.964052E+07   0.964052E+07   0.295630E+00
   0.659130E-03   0.182980E+08   0.182980E+08   0.273379E+07   0.273585E+07   0.180185E+08   0.182957E+08   0.182980E+08   0.182961E+08  -0.470406E+00   0.963300E+07   0.963300E+07   0.326455E+00
   0.736590E-03   0.182813E+08   0.182812E+08   0.177175E+07   0.177585E+07   0.179371E+08   0.182784E+08   0.182813E+08   0.182787E+08  -0.469945E+00   0.962388E+07   0.962388E+07   0.359988E+00
   0.823153E-03   0.182610E+08   0.182609E+08   0.125094E+07   0.125488E+07   0.178385E+08   0.182575E+08   0.182610E+08   0.182577E+08  -0.469395E+00   0.961286E+07   0.961286E+07   0.396461E+00
   0.919889E-03   0.182366E+08   0.182365E+08   0.104004E+07   0.104150E+07   0.177201E+08   0.182323E+08   0.182366E+08   0.182325E+08  -0.468739E+00   0.959960E+07   0.959960E+07   0.436137E+00
