#           k/h    P           
    0.10000E-03    0.25702E+00
    0.10202E-03    0.26205E+00
    0.10408E-03    0.26719E+00
    0.10618E-03    0.27242E+00
    0.10833E-03    0.27775E+00
    0.11052E-03    0.28319E+00
    0.11275E-03    0.28874E+00
    0.11503E-03    0.29440E+00
    0.11735E-03    0.30016E+00
    0.11972E-03    0.30604E+00
    0.12214E-03    0.31203E+00
    0.12461E-03    0.31814E+00
    0.12712E-03    0.32438E+00
    0.12969E-03    0.33073E+00
    0.13231E-03    0.33720E+00
    0.13499E-03    0.34381E+00
    0.13771E-03    0.35054E+00
    0.14049E-03    0.35741E+00
    0.14333E-03    0.36440E+00
    0.14623E-03    0.37154E+00
    0.14918E-03    0.37882E+00
    0.15220E-03    0.38623E+00
    0.15527E-03    0.39380E+00
    0.15841E-03    0.40151E+00
    0.16161E-03    0.40937E+00
    0.16487E-03    0.41739E+00
    0.16820E-03    0.42556E+00
    0.17160E-03    0.43389E+00
    0.17507E-03    0.44239E+00
    0.17860E-03    0.45105E+00
    0.18221E-03    0.45988E+00
    0.18589E-03    0.46888E+00
    0.18965E-03    0.47806E+00
    0.19348E-03    0.48742E+00
    0.19739E-03    0.49696E+00
    0.20138E-03    0.50669E+00
    0.20544E-03    0.51661E+00
    0.20959E-03    0.52672E+00
    0.21383E-03    0.53703E+00
    0.21815E-03    0.54754E+00
    0.22255E-03    0.55826E+00
    0.22705E-03    0.56919E+00
    0.23164E-03    0.58033E+00
    0.23632E-03    0.59169E+00
    0.24109E-03    0.60327E+00
    0.24596E-03    0.61507E+00
    0.25093E-03    0.62711E+00
    0.25600E-03    0.63938E+00
    0.26117E-03    0.65189E+00
    0.26645E-03    0.66464E+00
    0.27183E-03    0.67765E+00
    0.27732E-03    0.69091E+00
    0.28292E-03    0.70442E+00
    0.28864E-03    0.71820E+00
    0.29447E-03    0.73225E+00
    0.30042E-03    0.74657E+00
    0.30649E-03    0.76118E+00
    0.31268E-03    0.77606E+00
    0.31899E-03    0.79124E+00
    0.32544E-03    0.80671E+00
    0.33201E-03    0.82249E+00
    0.33872E-03    0.83857E+00
    0.34556E-03    0.85496E+00
    0.35254E-03    0.87167E+00
    0.35966E-03    0.88871E+00
    0.36693E-03    0.90608E+00
    0.37434E-03    0.92379E+00
