#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.434531E+06   0.434531E+06   0.579117E+06   0.579101E+06   0.466061E+06   0.434918E+06   0.434531E+06   0.439325E+06  -0.602339E+00   0.433230E+06   0.433230E+06   0.128612E+01
   0.798228E-04   0.434529E+06   0.434529E+06   0.579050E+06   0.579031E+06   0.466028E+06   0.434916E+06   0.434529E+06   0.439323E+06  -0.602335E+00   0.433229E+06   0.433229E+06   0.143725E+01
   0.892035E-04   0.434527E+06   0.434527E+06   0.578967E+06   0.578943E+06   0.465987E+06   0.434913E+06   0.434527E+06   0.439319E+06  -0.602330E+00   0.433226E+06   0.433226E+06   0.160614E+01
   0.996866E-04   0.434525E+06   0.434524E+06   0.578864E+06   0.578833E+06   0.465936E+06   0.434910E+06   0.434524E+06   0.439315E+06  -0.602324E+00   0.433224E+06   0.433224E+06   0.179487E+01
   0.111402E-03   0.434521E+06   0.434520E+06   0.578734E+06   0.578696E+06   0.465873E+06   0.434906E+06   0.434521E+06   0.439310E+06  -0.602317E+00   0.433220E+06   0.433220E+06   0.200576E+01
   0.124493E-03   0.434517E+06   0.434516E+06   0.578573E+06   0.578526E+06   0.465793E+06   0.434901E+06   0.434517E+06   0.439304E+06  -0.602308E+00   0.433216E+06   0.433216E+06   0.224144E+01
   0.139124E-03   0.434512E+06   0.434510E+06   0.578371E+06   0.578312E+06   0.465694E+06   0.434894E+06   0.434512E+06   0.439296E+06  -0.602296E+00   0.433210E+06   0.433210E+06   0.250479E+01
   0.155474E-03   0.434505E+06   0.434503E+06   0.578119E+06   0.578046E+06   0.465570E+06   0.434886E+06   0.434505E+06   0.439286E+06  -0.602282E+00   0.433204E+06   0.433203E+06   0.279906E+01
   0.173745E-03   0.434497E+06   0.434495E+06   0.577805E+06   0.577713E+06   0.465416E+06   0.434876E+06   0.434497E+06   0.439274E+06  -0.602264E+00   0.433195E+06   0.433195E+06   0.312788E+01
   0.194163E-03   0.434487E+06   0.434484E+06   0.577413E+06   0.577298E+06   0.465223E+06   0.434864E+06   0.434487E+06   0.439258E+06  -0.602242E+00   0.433184E+06   0.433184E+06   0.349530E+01
   0.216981E-03   0.434475E+06   0.434471E+06   0.576923E+06   0.576780E+06   0.464982E+06   0.434848E+06   0.434474E+06   0.439239E+06  -0.602214E+00   0.433171E+06   0.433171E+06   0.390582E+01
