#           k/h    P           
    0.10000E-03    0.46084E+01
    0.10202E-03    0.46986E+01
    0.10408E-03    0.47906E+01
    0.10618E-03    0.48845E+01
    0.10833E-03    0.49801E+01
    0.11052E-03    0.50776E+01
    0.11275E-03    0.51771E+01
    0.11503E-03    0.52785E+01
    0.11735E-03    0.53818E+01
    0.11972E-03    0.54872E+01
    0.12214E-03    0.55947E+01
    0.12461E-03    0.57042E+01
    0.12712E-03    0.58159E+01
    0.12969E-03    0.59298E+01
    0.13231E-03    0.60459E+01
    0.13499E-03    0.61643E+01
    0.13771E-03    0.62850E+01
    0.14049E-03    0.64080E+01
    0.14333E-03    0.65335E+01
    0.14623E-03    0.66614E+01
    0.14918E-03    0.67918E+01
    0.15220E-03    0.69248E+01
    0.15527E-03    0.70604E+01
    0.15841E-03    0.71986E+01
    0.16161E-03    0.73395E+01
    0.16487E-03    0.74832E+01
    0.16820E-03    0.76297E+01
    0.17160E-03    0.77790E+01
    0.17507E-03    0.79313E+01
    0.17860E-03    0.80865E+01
    0.18221E-03    0.82448E+01
    0.18589E-03    0.84062E+01
    0.18965E-03    0.85707E+01
    0.19348E-03    0.87384E+01
    0.19739E-03    0.89094E+01
    0.20138E-03    0.90838E+01
    0.20544E-03    0.92615E+01
    0.20959E-03    0.94428E+01
    0.21383E-03    0.96275E+01
    0.21815E-03    0.98159E+01
    0.22255E-03    0.10008E+02
    0.22705E-03    0.10204E+02
    0.23164E-03    0.10403E+02
    0.23632E-03    0.10607E+02
    0.24109E-03    0.10814E+02
    0.24596E-03    0.11026E+02
    0.25093E-03    0.11241E+02
    0.25600E-03    0.11461E+02
    0.26117E-03    0.11685E+02
    0.26645E-03    0.11914E+02
    0.27183E-03    0.12147E+02
    0.27732E-03    0.12384E+02
    0.28292E-03    0.12626E+02
    0.28864E-03    0.12873E+02
    0.29447E-03    0.13125E+02
    0.30042E-03    0.13381E+02
    0.30649E-03    0.13643E+02
    0.31268E-03    0.13910E+02
    0.31899E-03    0.14181E+02
    0.32544E-03    0.14458E+02
    0.33201E-03    0.14741E+02
    0.33872E-03    0.15029E+02
    0.34556E-03    0.15322E+02
    0.35254E-03    0.15621E+02
    0.35966E-03    0.15926E+02
    0.36693E-03    0.16237E+02
    0.37434E-03    0.16554E+02
    0.38190E-03    0.16877E+02
    0.38962E-03    0.17207E+02
    0.39749E-03    0.17542E+02
    0.40552E-03    0.17885E+02
    0.41371E-03    0.18233E+02
    0.42207E-03    0.18589E+02
    0.43060E-03    0.18951E+02
    0.43929E-03    0.19321E+02
    0.44817E-03    0.19697E+02
    0.45722E-03    0.20081E+02
    0.46646E-03    0.20473E+02
    0.47588E-03    0.20871E+02
    0.48550E-03    0.21278E+02
    0.49530E-03    0.21692E+02
    0.50531E-03    0.22114E+02
    0.51552E-03    0.22544E+02
    0.52593E-03    0.22983E+02
    0.53656E-03    0.23430E+02
    0.54739E-03    0.23885E+02
    0.55845E-03    0.24350E+02
    0.56973E-03    0.24823E+02
    0.58124E-03    0.25305E+02
    0.59299E-03    0.25796E+02
    0.60496E-03    0.26297E+02
    0.61719E-03    0.26807E+02
    0.62965E-03    0.27327E+02
    0.64237E-03    0.27857E+02
    0.65535E-03    0.28397E+02
    0.66859E-03    0.28947E+02
    0.68210E-03    0.29507E+02
    0.69588E-03    0.30078E+02
    0.70993E-03    0.30660E+02
    0.72427E-03    0.31253E+02
    0.73891E-03    0.31857E+02
    0.75383E-03    0.32472E+02
    0.76906E-03    0.33099E+02
    0.78460E-03    0.33738E+02
    0.80045E-03    0.34388E+02
    0.81662E-03    0.35051E+02
    0.83311E-03    0.35726E+02
    0.84994E-03    0.36413E+02
    0.86711E-03    0.37113E+02
    0.88463E-03    0.37826E+02
    0.90250E-03    0.38553E+02
    0.92073E-03    0.39292E+02
    0.93933E-03    0.40046E+02
    0.95831E-03    0.40813E+02
    0.97767E-03    0.41594E+02
    0.99742E-03    0.42389E+02
    0.10176E-02    0.43199E+02
    0.10381E-02    0.44023E+02
    0.10591E-02    0.44862E+02
    0.10805E-02    0.45717E+02
    0.11023E-02    0.46586E+02
    0.11246E-02    0.47472E+02
    0.11473E-02    0.48373E+02
    0.11705E-02    0.49290E+02
    0.11941E-02    0.50223E+02
    0.12182E-02    0.51173E+02
    0.12429E-02    0.52139E+02
    0.12680E-02    0.53123E+02
    0.12936E-02    0.54123E+02
    0.13197E-02    0.55141E+02
    0.13464E-02    0.56176E+02
    0.13736E-02    0.57229E+02
    0.14013E-02    0.58300E+02
    0.14296E-02    0.59390E+02
    0.14585E-02    0.60497E+02
    0.14880E-02    0.61624E+02
    0.15180E-02    0.62769E+02
    0.15487E-02    0.63933E+02
    0.15800E-02    0.65117E+02
    0.16119E-02    0.66320E+02
    0.16445E-02    0.67543E+02
    0.16777E-02    0.68786E+02
    0.17116E-02    0.70048E+02
    0.17462E-02    0.71331E+02
    0.17814E-02    0.72635E+02
    0.18174E-02    0.73959E+02
    0.18541E-02    0.75303E+02
    0.18916E-02    0.76669E+02
    0.19298E-02    0.78056E+02
    0.19688E-02    0.79464E+02
    0.20086E-02    0.80893E+02
    0.20491E-02    0.82345E+02
    0.20905E-02    0.83817E+02
    0.21328E-02    0.85312E+02
    0.21758E-02    0.86828E+02
    0.22198E-02    0.88367E+02
    0.22646E-02    0.89928E+02
    0.23104E-02    0.91511E+02
    0.23571E-02    0.93116E+02
    0.24047E-02    0.94744E+02
    0.24533E-02    0.96395E+02
    0.25028E-02    0.98068E+02
    0.25534E-02    0.99764E+02
    0.26050E-02    0.10148E+03
    0.26576E-02    0.10322E+03
    0.27113E-02    0.10499E+03
    0.27660E-02    0.10677E+03
    0.28219E-02    0.10858E+03
    0.28789E-02    0.11042E+03
    0.29371E-02    0.11227E+03
    0.29964E-02    0.11415E+03
    0.30569E-02    0.11605E+03
    0.31187E-02    0.11797E+03
    0.31817E-02    0.11992E+03
    0.32460E-02    0.12188E+03
    0.33115E-02    0.12387E+03
    0.33784E-02    0.12589E+03
    0.34467E-02    0.12792E+03
    0.35163E-02    0.12997E+03
    0.35874E-02    0.13205E+03
    0.36598E-02    0.13415E+03
    0.37338E-02    0.13627E+03
    0.38092E-02    0.13841E+03
    0.38861E-02    0.14057E+03
    0.39646E-02    0.14275E+03
    0.40447E-02    0.14496E+03
    0.41264E-02    0.14718E+03
    0.42098E-02    0.14942E+03
    0.42948E-02    0.15168E+03
    0.43816E-02    0.15395E+03
    0.44701E-02    0.15625E+03
    0.45604E-02    0.15856E+03
    0.46525E-02    0.16089E+03
    0.47465E-02    0.16324E+03
    0.48424E-02    0.16560E+03
    0.49402E-02    0.16798E+03
    0.50400E-02    0.17037E+03
    0.51419E-02    0.17277E+03
    0.52457E-02    0.17519E+03
    0.53517E-02    0.17762E+03
    0.54598E-02    0.18006E+03
    0.55701E-02    0.18251E+03
    0.56826E-02    0.18497E+03
    0.57974E-02    0.18744E+03
    0.59145E-02    0.18992E+03
    0.60340E-02    0.19240E+03
    0.61559E-02    0.19489E+03
    0.62803E-02    0.19739E+03
    0.64072E-02    0.19988E+03
    0.65366E-02    0.20238E+03
    0.66686E-02    0.20488E+03
    0.68033E-02    0.20738E+03
    0.69408E-02    0.20988E+03
    0.70810E-02    0.21237E+03
    0.72240E-02    0.21486E+03
    0.73700E-02    0.21734E+03
    0.75189E-02    0.21982E+03
    0.76708E-02    0.22228E+03
    0.78257E-02    0.22473E+03
    0.79838E-02    0.22718E+03
    0.81451E-02    0.22960E+03
    0.83096E-02    0.23201E+03
    0.84775E-02    0.23440E+03
    0.86488E-02    0.23677E+03
    0.88235E-02    0.23912E+03
    0.90017E-02    0.24145E+03
    0.91836E-02    0.24375E+03
    0.93691E-02    0.24602E+03
    0.95583E-02    0.24826E+03
    0.97514E-02    0.25046E+03
    0.99484E-02    0.25263E+03
    0.10149E-01    0.25476E+03
    0.10354E-01    0.25685E+03
    0.10564E-01    0.25890E+03
    0.10777E-01    0.26090E+03
    0.10995E-01    0.26286E+03
    0.11217E-01    0.26476E+03
    0.11443E-01    0.26661E+03
    0.11675E-01    0.26840E+03
    0.11910E-01    0.27013E+03
    0.12151E-01    0.27180E+03
    0.12397E-01    0.27341E+03
    0.12647E-01    0.27494E+03
    0.12902E-01    0.27641E+03
    0.13163E-01    0.27780E+03
    0.13429E-01    0.27911E+03
    0.13700E-01    0.28034E+03
    0.13977E-01    0.28149E+03
    0.14259E-01    0.28256E+03
    0.14547E-01    0.28353E+03
    0.14841E-01    0.28441E+03
    0.15141E-01    0.28519E+03
    0.15447E-01    0.28588E+03
    0.15759E-01    0.28646E+03
    0.16077E-01    0.28693E+03
    0.16402E-01    0.28730E+03
    0.16734E-01    0.28756E+03
    0.17072E-01    0.28771E+03
    0.17416E-01    0.28773E+03
    0.17768E-01    0.28764E+03
    0.18127E-01    0.28743E+03
    0.18493E-01    0.28710E+03
    0.18867E-01    0.28664E+03
    0.19248E-01    0.28605E+03
    0.19637E-01    0.28534E+03
    0.20034E-01    0.28449E+03
    0.20438E-01    0.28352E+03
    0.20851E-01    0.28241E+03
    0.21272E-01    0.28117E+03
    0.21702E-01    0.27979E+03
    0.22141E-01    0.27828E+03
    0.22588E-01    0.27664E+03
    0.23044E-01    0.27487E+03
    0.23510E-01    0.27297E+03
    0.23985E-01    0.27094E+03
    0.24469E-01    0.26878E+03
    0.24964E-01    0.26650E+03
    0.25468E-01    0.26410E+03
    0.25982E-01    0.26158E+03
    0.26507E-01    0.25894E+03
    0.27043E-01    0.25620E+03
    0.27589E-01    0.25335E+03
    0.28146E-01    0.25041E+03
    0.28715E-01    0.24737E+03
