#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10105E+04    0.12162E-05    0.00000E+00    0.26745E-01    0.48137E-07    0.30304E-02   -0.41840E-07
     3    0.97043E+03    0.57496E-05    0.00000E+00    0.60853E-01    0.58508E-07    0.29958E-02   -0.71104E-07
     4    0.93372E+03    0.16563E-04    0.00000E+00    0.10399E+00    0.67410E-07    0.29061E-02   -0.99861E-07
     5    0.90779E+03    0.37370E-04    0.00000E+00    0.15531E+00    0.75121E-07    0.27991E-02   -0.12852E-06
     6    0.89126E+03    0.72572E-04    0.00000E+00    0.21412E+00    0.81831E-07    0.26889E-02   -0.15684E-06
     7    0.88187E+03    0.12721E-03    0.00000E+00    0.27973E+00    0.87721E-07    0.25811E-02   -0.18490E-06
     8    0.87738E+03    0.20685E-03    0.00000E+00    0.35131E+00    0.92921E-07    0.24779E-02   -0.21293E-06
     9    0.87687E+03    0.31770E-03    0.00000E+00    0.42826E+00    0.97539E-07    0.23796E-02   -0.24114E-06
    10    0.87937E+03    0.46618E-03    0.00000E+00    0.50972E+00    0.10164E-06    0.22866E-02   -0.26910E-06
    11    0.88415E+03    0.65961E-03    0.00000E+00    0.59510E+00    0.10532E-06    0.21998E-02   -0.29667E-06
    12    0.89134E+03    0.90530E-03    0.00000E+00    0.68421E+00    0.10858E-06    0.21174E-02   -0.32338E-06
    13    0.89985E+03    0.12110E-02    0.00000E+00    0.77541E+00    0.11152E-06    0.20416E-02   -0.34987E-06
    14    0.90957E+03    0.15843E-02    0.00000E+00    0.86827E+00    0.11413E-06    0.19696E-02   -0.37606E-06
    15    0.92026E+03    0.20342E-02    0.00000E+00    0.96201E+00    0.11648E-06    0.19023E-02   -0.40237E-06
    16    0.93225E+03    0.25697E-02    0.00000E+00    0.10570E+01    0.11859E-06    0.18383E-02   -0.42852E-06
    17    0.94496E+03    0.31998E-02    0.00000E+00    0.11515E+01    0.12045E-06    0.17780E-02   -0.45436E-06
    18    0.95801E+03    0.39318E-02    0.00000E+00    0.12447E+01    0.12213E-06    0.17212E-02   -0.47979E-06
    19    0.97260E+03    0.47793E-02    0.00000E+00    0.13372E+01    0.12363E-06    0.16680E-02   -0.50513E-06
    20    0.98745E+03    0.57469E-02    0.00000E+00    0.14277E+01    0.12494E-06    0.16171E-02   -0.52981E-06
    21    0.10028E+04    0.68454E-02    0.00000E+00    0.15151E+01    0.12611E-06    0.15689E-02   -0.55412E-06
    22    0.10185E+04    0.80848E-02    0.00000E+00    0.15993E+01    0.12714E-06    0.15233E-02   -0.57817E-06
    23    0.10347E+04    0.94747E-02    0.00000E+00    0.16795E+01    0.12804E-06    0.14800E-02   -0.60201E-06
    24    0.10513E+04    0.11024E-01    0.00000E+00    0.17545E+01    0.12882E-06    0.14390E-02   -0.62532E-06
