#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10127E+04    0.30555E-01    0.11250E-02    0.30555E-01    0.13784E-05   -0.19133E-07    0.11250E-02   -0.19133E-07    0.97599E-08
     3    0.99316E+03    0.68848E-01    0.80117E-03    0.68848E-01    0.65336E-05   -0.22941E-07    0.80117E-03   -0.22941E-07    0.59371E-08
     4    0.96994E+03    0.11736E+00    0.60924E-03    0.11736E+00    0.18857E-04   -0.24941E-07    0.60924E-03   -0.24941E-07    0.41102E-08
     5    0.95332E+03    0.17522E+00    0.48340E-03    0.17522E+00    0.42608E-04   -0.26206E-07    0.48340E-03   -0.26206E-07    0.30586E-08
     6    0.94355E+03    0.24167E+00    0.39531E-03    0.24167E+00    0.82845E-04   -0.27033E-07    0.39531E-03   -0.27033E-07    0.23841E-08
     7    0.93928E+03    0.31599E+00    0.33065E-03    0.31599E+00    0.14537E-03   -0.27604E-07    0.33065E-03   -0.27604E-07    0.19203E-08
     8    0.93876E+03    0.39722E+00    0.28145E-03    0.39722E+00    0.23659E-03   -0.28043E-07    0.28145E-03   -0.28043E-07    0.15850E-08
     9    0.94146E+03    0.48477E+00    0.24291E-03    0.48477E+00    0.36368E-03   -0.28418E-07    0.24291E-03   -0.28418E-07    0.13335E-08
    10    0.94655E+03    0.57761E+00    0.21204E-03    0.57761E+00    0.53403E-03   -0.28700E-07    0.21204E-03   -0.28700E-07    0.11390E-08
    11    0.95352E+03    0.67518E+00    0.18694E-03    0.67518E+00    0.75610E-03   -0.28895E-07    0.18694E-03   -0.28895E-07    0.98536E-09
    12    0.96261E+03    0.77721E+00    0.16613E-03    0.77721E+00    0.10383E-02   -0.28981E-07    0.16613E-03   -0.28981E-07    0.86114E-09
    13    0.97268E+03    0.88191E+00    0.14882E-03    0.88191E+00    0.13897E-02   -0.29040E-07    0.14882E-03   -0.29040E-07    0.75947E-09
    14    0.98370E+03    0.98878E+00    0.13409E-03    0.98878E+00    0.18190E-02   -0.29074E-07    0.13409E-03   -0.29074E-07    0.67483E-09
    15    0.99549E+03    0.10970E+01    0.12151E-03    0.10970E+01    0.23365E-02   -0.29116E-07    0.12151E-03   -0.29116E-07    0.60372E-09
    16    0.10084E+04    0.12069E+01    0.11061E-03    0.12069E+01    0.29528E-02   -0.29140E-07    0.11061E-03   -0.29140E-07    0.54329E-09
    17    0.10220E+04    0.13167E+01    0.10114E-03    0.13167E+01    0.36782E-02   -0.29139E-07    0.10114E-03   -0.29139E-07    0.49138E-09
    18    0.10357E+04    0.14254E+01    0.92849E-04    0.14254E+01    0.45211E-02   -0.29116E-07    0.92849E-04   -0.29116E-07    0.44655E-09
    19    0.10509E+04    0.15337E+01    0.85579E-04    0.15337E+01    0.54974E-02   -0.29096E-07    0.85579E-04   -0.29096E-07    0.40751E-09
    20    0.10662E+04    0.16400E+01    0.79105E-04    0.16400E+01    0.66123E-02   -0.29045E-07    0.79105E-04   -0.29045E-07    0.37326E-09
    21    0.10819E+04    0.17434E+01    0.73347E-04    0.17434E+01    0.78782E-02   -0.28978E-07    0.73347E-04   -0.28978E-07    0.34307E-09
    22    0.10979E+04    0.18434E+01    0.68196E-04    0.18434E+01    0.93066E-02   -0.28903E-07    0.68196E-04   -0.28903E-07    0.31632E-09
    23    0.11142E+04    0.19396E+01    0.63567E-04    0.19396E+01    0.10909E-01   -0.28824E-07    0.63567E-04   -0.28824E-07    0.29250E-09
    24    0.11308E+04    0.20300E+01    0.59408E-04    0.20300E+01    0.12695E-01   -0.28729E-07    0.59408E-04   -0.28729E-07    0.27117E-09
    25    0.11477E+04    0.21151E+01    0.55645E-04    0.21151E+01    0.14676E-01   -0.28632E-07    0.55645E-04   -0.28632E-07    0.25203E-09
    26    0.11649E+04    0.21949E+01    0.52218E-04    0.21949E+01    0.16864E-01   -0.28528E-07    0.52218E-04   -0.28528E-07    0.23477E-09
    27    0.11824E+04    0.22683E+01    0.49094E-04    0.22683E+01    0.19269E-01   -0.28420E-07    0.49094E-04   -0.28420E-07    0.21915E-09
    28    0.12000E+04    0.23339E+01    0.46246E-04    0.23339E+01    0.21901E-01   -0.28308E-07    0.46246E-04   -0.28308E-07    0.20498E-09
    29    0.12180E+04    0.23909E+01    0.43644E-04    0.23909E+01    0.24772E-01   -0.28189E-07    0.43644E-04   -0.28189E-07    0.19207E-09
    30    0.12361E+04    0.24405E+01    0.41248E-04    0.24405E+01    0.27890E-01   -0.28064E-07    0.41248E-04   -0.28064E-07    0.18029E-09
    31    0.12544E+04    0.24814E+01    0.39037E-04    0.24814E+01    0.31268E-01   -0.27934E-07    0.39037E-04   -0.27934E-07    0.16950E-09
    32    0.12729E+04    0.25127E+01    0.37000E-04    0.25127E+01    0.34914E-01   -0.27804E-07    0.37000E-04   -0.27804E-07    0.15960E-09
    33    0.12916E+04    0.25329E+01    0.35124E-04    0.25329E+01    0.38838E-01   -0.27674E-07    0.35124E-04   -0.27674E-07    0.15050E-09
    34    0.13104E+04    0.25430E+01    0.33383E-04    0.25430E+01    0.43048E-01   -0.27535E-07    0.33383E-04   -0.27535E-07    0.14211E-09
    35    0.13295E+04    0.25429E+01    0.31763E-04    0.25429E+01    0.47554E-01   -0.27393E-07    0.31763E-04   -0.27393E-07    0.13435E-09
    36    0.13486E+04    0.25313E+01    0.30257E-04    0.25313E+01    0.52366E-01   -0.27252E-07    0.30257E-04   -0.27252E-07    0.12718E-09
    37    0.13680E+04    0.25072E+01    0.28857E-04    0.25072E+01    0.57491E-01   -0.27111E-07    0.28857E-04   -0.27111E-07    0.12053E-09
    38    0.13875E+04    0.24710E+01    0.27550E-04    0.24710E+01    0.62939E-01   -0.26965E-07    0.27550E-04   -0.26965E-07    0.11435E-09
    39    0.14072E+04    0.24221E+01    0.26329E-04    0.24221E+01    0.68711E-01   -0.26815E-07    0.26329E-04   -0.26815E-07    0.10861E-09
    40    0.14270E+04    0.23596E+01    0.25187E-04    0.23596E+01    0.74817E-01   -0.26665E-07    0.25187E-04   -0.26665E-07    0.10326E-09
    41    0.14471E+04    0.22829E+01    0.24119E-04    0.22829E+01    0.81267E-01   -0.26516E-07    0.24119E-04   -0.26516E-07    0.98260E-10
    42    0.14672E+04    0.21928E+01    0.23116E-04    0.21928E+01    0.88066E-01   -0.26365E-07    0.23116E-04   -0.26365E-07    0.93592E-10
    43    0.14876E+04    0.20898E+01    0.22171E-04    0.20898E+01    0.95219E-01   -0.26211E-07    0.22171E-04   -0.26211E-07    0.89224E-10
    44    0.15080E+04    0.19722E+01    0.21281E-04    0.19722E+01    0.10272E+00   -0.26054E-07    0.21281E-04   -0.26054E-07    0.85131E-10
    45    0.15287E+04    0.18386E+01    0.20445E-04    0.18386E+01    0.11059E+00   -0.25899E-07    0.20445E-04   -0.25899E-07    0.81290E-10
    46    0.15496E+04    0.16898E+01    0.19658E-04    0.16898E+01    0.11884E+00   -0.25743E-07    0.19658E-04   -0.25743E-07    0.77682E-10
    47    0.15706E+04    0.15268E+01    0.18912E-04    0.15268E+01    0.12744E+00   -0.25584E-07    0.18912E-04   -0.25584E-07    0.74290E-10
    48    0.15917E+04    0.13483E+01    0.18208E-04    0.13483E+01    0.13643E+00   -0.25425E-07    0.18208E-04   -0.25425E-07    0.71098E-10
    49    0.16130E+04    0.11532E+01    0.17542E-04    0.11532E+01    0.14578E+00   -0.25266E-07    0.17542E-04   -0.25266E-07    0.68088E-10
    50    0.16347E+04    0.94217E+00    0.16913E-04    0.94217E+00    0.15552E+00   -0.25107E-07    0.16913E-04   -0.25107E-07    0.65250E-10
    51    0.16563E+04    0.71590E+00    0.16315E-04    0.71590E+00    0.16564E+00   -0.24945E-07    0.16315E-04   -0.24945E-07    0.62570E-10
    52    0.16783E+04    0.47344E+00    0.15748E-04    0.47344E+00    0.17613E+00   -0.24783E-07    0.15748E-04   -0.24783E-07    0.60037E-10
    53    0.17005E+04    0.21371E+00    0.15210E-04    0.21371E+00    0.18700E+00   -0.24622E-07    0.15210E-04   -0.24622E-07    0.57641E-10
    54    0.17228E+04   -0.62448E-01    0.14699E-04   -0.62448E-01    0.19825E+00   -0.24461E-07    0.14699E-04   -0.24461E-07    0.55372E-10
    55    0.17453E+04   -0.35423E+00    0.14212E-04   -0.35423E+00    0.20988E+00   -0.24297E-07    0.14212E-04   -0.24297E-07    0.53222E-10
    56    0.17680E+04   -0.66243E+00    0.13749E-04   -0.66243E+00    0.22188E+00   -0.24133E-07    0.13749E-04   -0.24133E-07    0.51183E-10
    57    0.17910E+04   -0.98799E+00    0.13308E-04   -0.98799E+00    0.23425E+00   -0.23971E-07    0.13308E-04   -0.23971E-07    0.49248E-10
    58    0.18142E+04   -0.13305E+01    0.12888E-04   -0.13305E+01    0.24700E+00   -0.23808E-07    0.12888E-04   -0.23808E-07    0.47410E-10
    59    0.18376E+04   -0.16891E+01    0.12486E-04   -0.16891E+01    0.26013E+00   -0.23643E-07    0.12486E-04   -0.23643E-07    0.45664E-10
    60    0.18612E+04   -0.20627E+01    0.12102E-04   -0.20627E+01    0.27358E+00   -0.23477E-07    0.12102E-04   -0.23477E-07    0.44002E-10
    61    0.18853E+04   -0.24504E+01    0.11736E-04   -0.24504E+01    0.28739E+00   -0.23311E-07    0.11736E-04   -0.23311E-07    0.42419E-10
    62    0.19094E+04   -0.28537E+01    0.11386E-04   -0.28537E+01    0.30153E+00   -0.23146E-07    0.11386E-04   -0.23146E-07    0.40912E-10
    63    0.19337E+04   -0.32741E+01    0.11051E-04   -0.32741E+01    0.31600E+00   -0.22981E-07    0.11051E-04   -0.22981E-07    0.39475E-10
    64    0.19584E+04   -0.37133E+01    0.10731E-04   -0.37133E+01    0.33085E+00   -0.22816E-07    0.10731E-04   -0.22816E-07    0.38106E-10
    65    0.19831E+04   -0.41726E+01    0.10424E-04   -0.41726E+01    0.34608E+00   -0.22651E-07    0.10424E-04   -0.22651E-07    0.36800E-10
    66    0.20082E+04   -0.46507E+01    0.10130E-04   -0.46507E+01    0.36164E+00   -0.22487E-07    0.10130E-04   -0.22487E-07    0.35554E-10
    67    0.20333E+04   -0.51451E+01    0.98487E-05   -0.51451E+01    0.37753E+00   -0.22322E-07    0.98487E-05   -0.22322E-07    0.34363E-10
    68    0.20589E+04   -0.56542E+01    0.95781E-05   -0.56542E+01    0.39375E+00   -0.22157E-07    0.95781E-05   -0.22157E-07    0.33224E-10
    69    0.20847E+04   -0.61752E+01    0.93182E-05   -0.61752E+01    0.41024E+00   -0.21992E-07    0.93182E-05   -0.21992E-07    0.32134E-10
    70    0.21109E+04   -0.67084E+01    0.90684E-05   -0.67084E+01    0.42700E+00   -0.21826E-07    0.90684E-05   -0.21826E-07    0.31091E-10
    71    0.21372E+04   -0.72550E+01    0.88282E-05   -0.72550E+01    0.44400E+00   -0.21660E-07    0.88282E-05   -0.21660E-07    0.30093E-10
    72    0.21639E+04   -0.78163E+01    0.85973E-05   -0.78163E+01    0.46123E+00   -0.21495E-07    0.85973E-05   -0.21495E-07    0.29137E-10
    73    0.21908E+04   -0.83930E+01    0.83751E-05   -0.83930E+01    0.47867E+00   -0.21329E-07    0.83751E-05   -0.21329E-07    0.28221E-10
    74    0.22179E+04   -0.89841E+01    0.81611E-05   -0.89841E+01    0.49631E+00   -0.21163E-07    0.81611E-05   -0.21163E-07    0.27342E-10
    75    0.22453E+04   -0.95885E+01    0.79549E-05   -0.95885E+01    0.51419E+00   -0.20997E-07    0.79549E-05   -0.20997E-07    0.26499E-10
    76    0.22729E+04   -0.10206E+02    0.77563E-05   -0.10206E+02    0.53231E+00   -0.20831E-07    0.77563E-05   -0.20831E-07    0.25690E-10
    77    0.23008E+04   -0.10837E+02    0.75647E-05   -0.10837E+02    0.55067E+00   -0.20665E-07    0.75647E-05   -0.20665E-07    0.24914E-10
    78    0.23292E+04   -0.11483E+02    0.73801E-05   -0.11483E+02    0.56927E+00   -0.20498E-07    0.73801E-05   -0.20498E-07    0.24168E-10
    79    0.23577E+04   -0.12138E+02    0.72020E-05   -0.12138E+02    0.58804E+00   -0.20332E-07    0.72020E-05   -0.20332E-07    0.23451E-10
    80    0.23865E+04   -0.12805E+02    0.70301E-05   -0.12805E+02    0.60697E+00   -0.20166E-07    0.70301E-05   -0.20166E-07    0.22763E-10
    81    0.24157E+04   -0.13484E+02    0.68642E-05   -0.13484E+02    0.62600E+00   -0.20000E-07    0.68642E-05   -0.20000E-07    0.22100E-10
