#    L    TT             EE             TE             PP             TP          
     2    0.12602E+04    0.13648E-05    0.29818E-01    0.10568E+07    0.36494E+05
     3    0.11883E+04    0.64371E-05    0.68396E-01    0.16238E+07    0.42534E+05
     4    0.11287E+04    0.18512E-04    0.11711E+00    0.21251E+07    0.45070E+05
     5    0.10871E+04    0.41713E-04    0.17495E+00    0.25650E+07    0.45838E+05
     6    0.10599E+04    0.80917E-04    0.24109E+00    0.29504E+07    0.45668E+05
     7    0.10433E+04    0.14170E-03    0.31474E+00    0.32894E+07    0.44982E+05
     8    0.10340E+04    0.23022E-03    0.39493E+00    0.35887E+07    0.44011E+05
     9    0.10303E+04    0.35336E-03    0.48097E+00    0.38541E+07    0.42882E+05
    10    0.10310E+04    0.51815E-03    0.57190E+00    0.40896E+07    0.41668E+05
    11    0.10350E+04    0.73272E-03    0.66700E+00    0.43000E+07    0.40443E+05
    12    0.10423E+04    0.10051E-02    0.76605E+00    0.44865E+07    0.39207E+05
    13    0.10515E+04    0.13439E-02    0.86719E+00    0.46539E+07    0.38022E+05
    14    0.10625E+04    0.17574E-02    0.96996E+00    0.48026E+07    0.36855E+05
    15    0.10749E+04    0.22556E-02    0.10734E+01    0.49361E+07    0.35734E+05
    16    0.10890E+04    0.28483E-02    0.11780E+01    0.50555E+07    0.34643E+05
    17    0.11042E+04    0.35456E-02    0.12817E+01    0.51611E+07    0.33599E+05
    18    0.11200E+04    0.43554E-02    0.13835E+01    0.52558E+07    0.32602E+05
    19    0.11377E+04    0.52927E-02    0.14843E+01    0.53401E+07    0.31656E+05
    20    0.11559E+04    0.63627E-02    0.15825E+01    0.54144E+07    0.30741E+05
    21    0.11748E+04    0.75772E-02    0.16769E+01    0.54801E+07    0.29869E+05
    22    0.11944E+04    0.89472E-02    0.17672E+01    0.55381E+07    0.29035E+05
    23    0.12145E+04    0.10484E-01    0.18527E+01    0.55889E+07    0.28240E+05
    24    0.12353E+04    0.12195E-01    0.19320E+01    0.56327E+07    0.27483E+05
    25    0.12566E+04    0.14094E-01    0.20052E+01    0.56707E+07    0.26760E+05
    26    0.12784E+04    0.16190E-01    0.20722E+01    0.57031E+07    0.26064E+05
    27    0.13007E+04    0.18494E-01    0.21318E+01    0.57303E+07    0.25398E+05
    28    0.13234E+04    0.21016E-01    0.21827E+01    0.57529E+07    0.24763E+05
    29    0.13467E+04    0.23766E-01    0.22245E+01    0.57710E+07    0.24158E+05
    30    0.13702E+04    0.26753E-01    0.22581E+01    0.57852E+07    0.23574E+05
    31    0.13941E+04    0.29988E-01    0.22821E+01    0.57953E+07    0.23012E+05
    32    0.14185E+04    0.33481E-01    0.22954E+01    0.58023E+07    0.22475E+05
    33    0.14432E+04    0.37241E-01    0.22966E+01    0.58061E+07    0.21963E+05
    34    0.14683E+04    0.41274E-01    0.22877E+01    0.58069E+07    0.21468E+05
    35    0.14936E+04    0.45592E-01    0.22673E+01    0.58049E+07    0.20991E+05
    36    0.15192E+04    0.50204E-01    0.22343E+01    0.58005E+07    0.20533E+05
    37    0.15453E+04    0.55117E-01    0.21876E+01    0.57937E+07    0.20095E+05
    38    0.15716E+04    0.60339E-01    0.21284E+01    0.57848E+07    0.19672E+05
    39    0.15983E+04    0.65875E-01    0.20560E+01    0.57738E+07    0.19263E+05
    40    0.16251E+04    0.71731E-01    0.19691E+01    0.57609E+07    0.18870E+05
    41    0.16524E+04    0.77919E-01    0.18668E+01    0.57464E+07    0.18494E+05
    42    0.16799E+04    0.84445E-01    0.17501E+01    0.57303E+07    0.18130E+05
    43    0.17076E+04    0.91312E-01    0.16200E+01    0.57127E+07    0.17776E+05
    44    0.17355E+04    0.98521E-01    0.14742E+01    0.56937E+07    0.17434E+05
    45    0.17639E+04    0.10608E+00    0.13112E+01    0.56734E+07    0.17107E+05
    46    0.17926E+04    0.11400E+00    0.11322E+01    0.56519E+07    0.16790E+05
    47    0.18214E+04    0.12228E+00    0.93887E+00    0.56294E+07    0.16482E+05
    48    0.18504E+04    0.13092E+00    0.72901E+00    0.56059E+07    0.16184E+05
    49    0.18798E+04    0.13992E+00    0.50082E+00    0.55814E+07    0.15897E+05
    50    0.19096E+04    0.14930E+00    0.25581E+00    0.55561E+07    0.15620E+05
    51    0.19394E+04    0.15905E+00   -0.43206E-02    0.55300E+07    0.15349E+05
    52    0.19697E+04    0.16916E+00   -0.28152E+00    0.55033E+07    0.15087E+05
