#    L    TT             EE             BB             TE          
     2    0.11565E+04    0.37366E-05    0.23606E-05    0.30192E-01
     3    0.11079E+04    0.11225E-04    0.47220E-05    0.68772E-01
     4    0.10641E+04    0.26602E-04    0.78715E-05    0.11755E+00
     5    0.10332E+04    0.54064E-04    0.11810E-04    0.17558E+00
     6    0.10135E+04    0.98585E-04    0.16539E-04    0.24206E+00
     7    0.10021E+04    0.16586E-03    0.22060E-04    0.31621E+00
     8    0.99648E+03    0.26217E-03    0.28373E-04    0.39707E+00
     9    0.99552E+03    0.39455E-03    0.35481E-04    0.48399E+00
    10    0.99809E+03    0.57021E-03    0.43386E-04    0.57599E+00
    11    0.10033E+04    0.79745E-03    0.52088E-04    0.67238E+00
    12    0.10114E+04    0.10845E-02    0.61591E-04    0.77294E+00
    13    0.10210E+04    0.14402E-02    0.71896E-04    0.87583E+00
    14    0.10320E+04    0.18729E-02    0.83005E-04    0.98057E+00
    15    0.10441E+04    0.23930E-02    0.94921E-04    0.10862E+01
    16    0.10577E+04    0.30105E-02    0.10764E-03    0.11932E+01
    17    0.10722E+04    0.37358E-02    0.12118E-03    0.12997E+01
    18    0.10871E+04    0.45767E-02    0.13553E-03    0.14046E+01
    19    0.11038E+04    0.55490E-02    0.15069E-03    0.15087E+01
    20    0.11208E+04    0.66577E-02    0.16667E-03    0.16104E+01
    21    0.11384E+04    0.79149E-02    0.18347E-03    0.17086E+01
    22    0.11564E+04    0.93320E-02    0.20109E-03    0.18030E+01
    23    0.11750E+04    0.10920E-01    0.21953E-03    0.18929E+01
    24    0.11940E+04    0.12688E-01    0.23880E-03    0.19768E+01
    25    0.12135E+04    0.14648E-01    0.25889E-03    0.20549E+01
    26    0.12334E+04    0.16811E-01    0.27981E-03    0.21271E+01
    27    0.12537E+04    0.19187E-01    0.30156E-03    0.21922E+01
    28    0.12743E+04    0.21787E-01    0.32415E-03    0.22490E+01
    29    0.12953E+04    0.24620E-01    0.34756E-03    0.22968E+01
    30    0.13167E+04    0.27697E-01    0.37181E-03    0.23366E+01
    31    0.13382E+04    0.31027E-01    0.39690E-03    0.23672E+01
    32    0.13601E+04    0.34622E-01    0.42282E-03    0.23875E+01
    33    0.13824E+04    0.38490E-01    0.44958E-03    0.23959E+01
    34    0.14049E+04    0.42638E-01    0.47718E-03    0.23943E+01
    35    0.14276E+04    0.47078E-01    0.50562E-03    0.23816E+01
    36    0.14505E+04    0.51817E-01    0.53490E-03    0.23566E+01
    37    0.14738E+04    0.56865E-01    0.56502E-03    0.23184E+01
    38    0.14974E+04    0.62230E-01    0.59597E-03    0.22677E+01
    39    0.15212E+04    0.67914E-01    0.62777E-03    0.22040E+01
    40    0.15451E+04    0.73926E-01    0.66042E-03    0.21261E+01
    41    0.15694E+04    0.80276E-01    0.69390E-03    0.20331E+01
    42    0.15939E+04    0.86971E-01    0.72822E-03    0.19261E+01
    43    0.16187E+04    0.94015E-01    0.76339E-03    0.18059E+01
    44    0.16435E+04    0.10140E+00    0.79940E-03    0.16704E+01
    45    0.16687E+04    0.10915E+00    0.83624E-03    0.15179E+01
    46    0.16942E+04    0.11727E+00    0.87393E-03    0.13498E+01
    47    0.17198E+04    0.12575E+00    0.91246E-03    0.11673E+01
    48    0.17456E+04    0.13460E+00    0.95183E-03    0.96868E+00
    49    0.17717E+04    0.14381E+00    0.99204E-03    0.75230E+00
    50    0.17982E+04    0.15341E+00    0.10331E-02    0.51933E+00
    51    0.18247E+04    0.16339E+00    0.10750E-02    0.27120E+00
    52    0.18516E+04    0.17372E+00    0.11177E-02    0.62813E-02
    53    0.18788E+04    0.18445E+00    0.11613E-02   -0.27713E+00
    54    0.19061E+04    0.19554E+00    0.12057E-02   -0.57760E+00
    55    0.19336E+04    0.20700E+00    0.12509E-02   -0.89372E+00
    56    0.19615E+04    0.21885E+00    0.12970E-02   -0.12269E+01
    57    0.19897E+04    0.23106E+00    0.13439E-02   -0.15787E+01
    58    0.20182E+04    0.24365E+00    0.13916E-02   -0.19480E+01
    59    0.20467E+04    0.25661E+00    0.14402E-02   -0.23332E+01
    60    0.20755E+04    0.26990E+00    0.14896E-02   -0.27338E+01
    61    0.21049E+04    0.28353E+00    0.15399E-02   -0.31492E+01
    62    0.21343E+04    0.29751E+00    0.15910E-02   -0.35810E+01
    63    0.21640E+04    0.31182E+00    0.16429E-02   -0.40306E+01
    64    0.21941E+04    0.32651E+00    0.16956E-02   -0.44999E+01
    65    0.22244E+04    0.34158E+00    0.17492E-02   -0.49899E+01
    66    0.22549E+04    0.35700E+00    0.18036E-02   -0.54993E+01
    67    0.22857E+04    0.37273E+00    0.18589E-02   -0.60256E+01
    68    0.23169E+04    0.38881E+00    0.19149E-02   -0.65672E+01
    69    0.23483E+04    0.40515E+00    0.19718E-02   -0.71213E+01
    70    0.23801E+04    0.42178E+00    0.20296E-02   -0.76881E+01
    71    0.24122E+04    0.43865E+00    0.20882E-02   -0.82688E+01
    72    0.24445E+04    0.45576E+00    0.21476E-02   -0.88648E+01
    73    0.24771E+04    0.47308E+00    0.22078E-02   -0.94765E+01
    74    0.25099E+04    0.49062E+00    0.22689E-02   -0.10103E+02
    75    0.25430E+04    0.50840E+00    0.23308E-02   -0.10744E+02
    76    0.25764E+04    0.52644E+00    0.23936E-02   -0.11398E+02
    77    0.26102E+04    0.54472E+00    0.24572E-02   -0.12066E+02
    78    0.26443E+04    0.56325E+00    0.25216E-02   -0.12749E+02
    79    0.26786E+04    0.58197E+00    0.25869E-02   -0.13442E+02
    80    0.27133E+04    0.60086E+00    0.26531E-02   -0.14148E+02
    81    0.27483E+04    0.61987E+00    0.27200E-02   -0.14865E+02
    82    0.27836E+04    0.63901E+00    0.27879E-02   -0.15594E+02
    83    0.28193E+04    0.65825E+00    0.28565E-02   -0.16335E+02
    84    0.28553E+04    0.67760E+00    0.29261E-02   -0.17086E+02
    85    0.28915E+04    0.69702E+00    0.29965E-02   -0.17847E+02
    86    0.29280E+04    0.71652E+00    0.30677E-02   -0.18618E+02
    87    0.29650E+04    0.73607E+00    0.31398E-02   -0.19397E+02
    88    0.30020E+04    0.75568E+00    0.32128E-02   -0.20185E+02
    89    0.30395E+04    0.77532E+00    0.32867E-02   -0.20981E+02
    90    0.30773E+04    0.79495E+00    0.33614E-02   -0.21784E+02
    91    0.31153E+04    0.81456E+00    0.34370E-02   -0.22593E+02
    92    0.31537E+04    0.83414E+00    0.35135E-02   -0.23408E+02
    93    0.31924E+04    0.85367E+00    0.35908E-02   -0.24229E+02
    94    0.32312E+04    0.87311E+00    0.36691E-02   -0.25054E+02
    95    0.32704E+04    0.89246E+00    0.37483E-02   -0.25883E+02
    96    0.33097E+04    0.91170E+00    0.38283E-02   -0.26716E+02
    97    0.33494E+04    0.93080E+00    0.39093E-02   -0.27552E+02
    98    0.33894E+04    0.94977E+00    0.39912E-02   -0.28389E+02
    99    0.34295E+04    0.96856E+00    0.40740E-02   -0.29229E+02
   100    0.34700E+04    0.98716E+00    0.41577E-02   -0.30068E+02
   101    0.35107E+04    0.10056E+01    0.42423E-02   -0.30909E+02
